modality,packageDepth,representation,endpoint,sharedStateValueCount,fatePreservingSharedStateValueCount,allSharedStateValuesFatePreserving
RNA,0,snapshotDay3,fineDay21Fate,1,0,False
RNA,0,snapshotDay3,sourceGroupedDay21Fate,1,0,False
RNA,0,snapshotDay3,majorityDay21Fate,1,0,False
RNA,0,snapshotDay3,fateBreadth,1,0,False
RNA,0,day12State,fineDay21Fate,1,0,False
RNA,0,day12State,sourceGroupedDay21Fate,1,0,False
RNA,0,day12State,majorityDay21Fate,1,0,False
RNA,0,day12State,fateBreadth,1,0,False
RNA,0,orderedHistory,fineDay21Fate,1,0,False
RNA,0,orderedHistory,sourceGroupedDay21Fate,1,0,False
RNA,0,orderedHistory,majorityDay21Fate,1,0,False
RNA,0,orderedHistory,fateBreadth,1,0,False
RNA,0,unorderedHistory,fineDay21Fate,1,0,False
RNA,0,unorderedHistory,sourceGroupedDay21Fate,1,0,False
RNA,0,unorderedHistory,majorityDay21Fate,1,0,False
RNA,0,unorderedHistory,fateBreadth,1,0,False
RNA,0,reversedHistory,fineDay21Fate,1,0,False
RNA,0,reversedHistory,sourceGroupedDay21Fate,1,0,False
RNA,0,reversedHistory,majorityDay21Fate,1,0,False
RNA,0,reversedHistory,fateBreadth,1,0,False
RNA,0,transitionSignature,fineDay21Fate,1,0,False
RNA,0,transitionSignature,sourceGroupedDay21Fate,1,0,False
RNA,0,transitionSignature,majorityDay21Fate,1,0,False
RNA,0,transitionSignature,fateBreadth,1,0,False
RNA,1,snapshotDay3,fineDay21Fate,15,0,False
RNA,1,snapshotDay3,sourceGroupedDay21Fate,15,0,False
RNA,1,snapshotDay3,majorityDay21Fate,15,0,False
RNA,1,snapshotDay3,fateBreadth,15,0,False
RNA,1,day12State,fineDay21Fate,5,0,False
RNA,1,day12State,sourceGroupedDay21Fate,5,0,False
RNA,1,day12State,majorityDay21Fate,5,0,False
RNA,1,day12State,fateBreadth,5,1,False
RNA,1,orderedHistory,fineDay21Fate,19,0,False
RNA,1,orderedHistory,sourceGroupedDay21Fate,19,1,False
RNA,1,orderedHistory,majorityDay21Fate,19,2,False
RNA,1,orderedHistory,fateBreadth,19,2,False
RNA,1,unorderedHistory,fineDay21Fate,17,0,False
RNA,1,unorderedHistory,sourceGroupedDay21Fate,17,0,False
RNA,1,unorderedHistory,majorityDay21Fate,17,1,False
RNA,1,unorderedHistory,fateBreadth,17,2,False
RNA,1,reversedHistory,fineDay21Fate,19,0,False
RNA,1,reversedHistory,sourceGroupedDay21Fate,19,1,False
RNA,1,reversedHistory,majorityDay21Fate,19,2,False
RNA,1,reversedHistory,fateBreadth,19,2,False
RNA,1,transitionSignature,fineDay21Fate,18,0,False
RNA,1,transitionSignature,sourceGroupedDay21Fate,18,1,False
RNA,1,transitionSignature,majorityDay21Fate,18,2,False
RNA,1,transitionSignature,fateBreadth,18,0,False
RNA,2,snapshotDay3,fineDay21Fate,42,1,False
RNA,2,snapshotDay3,sourceGroupedDay21Fate,42,5,False
RNA,2,snapshotDay3,majorityDay21Fate,42,3,False
RNA,2,snapshotDay3,fateBreadth,42,5,False
RNA,2,day12State,fineDay21Fate,11,0,False
RNA,2,day12State,sourceGroupedDay21Fate,11,0,False
RNA,2,day12State,majorityDay21Fate,11,0,False
RNA,2,day12State,fateBreadth,11,2,False
RNA,2,orderedHistory,fineDay21Fate,31,1,False
RNA,2,orderedHistory,sourceGroupedDay21Fate,31,5,False
RNA,2,orderedHistory,majorityDay21Fate,31,3,False
RNA,2,orderedHistory,fateBreadth,31,5,False
RNA,2,unorderedHistory,fineDay21Fate,31,1,False
RNA,2,unorderedHistory,sourceGroupedDay21Fate,31,5,False
RNA,2,unorderedHistory,majorityDay21Fate,31,3,False
RNA,2,unorderedHistory,fateBreadth,31,5,False
RNA,2,reversedHistory,fineDay21Fate,31,1,False
RNA,2,reversedHistory,sourceGroupedDay21Fate,31,5,False
RNA,2,reversedHistory,majorityDay21Fate,31,3,False
RNA,2,reversedHistory,fateBreadth,31,5,False
RNA,2,transitionSignature,fineDay21Fate,42,3,False
RNA,2,transitionSignature,sourceGroupedDay21Fate,42,7,False
RNA,2,transitionSignature,majorityDay21Fate,42,4,False
RNA,2,transitionSignature,fateBreadth,42,8,False
RNA,4,snapshotDay3,fineDay21Fate,24,1,False
RNA,4,snapshotDay3,sourceGroupedDay21Fate,24,4,False
RNA,4,snapshotDay3,majorityDay21Fate,24,2,False
RNA,4,snapshotDay3,fateBreadth,24,6,False
RNA,4,day12State,fineDay21Fate,13,1,False
RNA,4,day12State,sourceGroupedDay21Fate,13,1,False
RNA,4,day12State,majorityDay21Fate,13,1,False
RNA,4,day12State,fateBreadth,13,3,False
RNA,4,orderedHistory,fineDay21Fate,12,0,False
RNA,4,orderedHistory,sourceGroupedDay21Fate,12,0,False
RNA,4,orderedHistory,majorityDay21Fate,12,0,False
RNA,4,orderedHistory,fateBreadth,12,2,False
RNA,4,unorderedHistory,fineDay21Fate,12,0,False
RNA,4,unorderedHistory,sourceGroupedDay21Fate,12,0,False
RNA,4,unorderedHistory,majorityDay21Fate,12,0,False
RNA,4,unorderedHistory,fateBreadth,12,2,False
RNA,4,reversedHistory,fineDay21Fate,12,0,False
RNA,4,reversedHistory,sourceGroupedDay21Fate,12,0,False
RNA,4,reversedHistory,majorityDay21Fate,12,0,False
RNA,4,reversedHistory,fateBreadth,12,2,False
RNA,4,transitionSignature,fineDay21Fate,17,1,False
RNA,4,transitionSignature,sourceGroupedDay21Fate,17,2,False
RNA,4,transitionSignature,majorityDay21Fate,17,2,False
RNA,4,transitionSignature,fateBreadth,17,5,False
RNA,5,snapshotDay3,fineDay21Fate,13,1,False
RNA,5,snapshotDay3,sourceGroupedDay21Fate,13,4,False
RNA,5,snapshotDay3,majorityDay21Fate,13,1,False
RNA,5,snapshotDay3,fateBreadth,13,3,False
RNA,5,day12State,fineDay21Fate,13,2,False
RNA,5,day12State,sourceGroupedDay21Fate,13,2,False
RNA,5,day12State,majorityDay21Fate,13,2,False
RNA,5,day12State,fateBreadth,13,6,False
RNA,5,orderedHistory,fineDay21Fate,2,0,False
RNA,5,orderedHistory,sourceGroupedDay21Fate,2,0,False
RNA,5,orderedHistory,majorityDay21Fate,2,0,False
RNA,5,orderedHistory,fateBreadth,2,0,False
RNA,5,unorderedHistory,fineDay21Fate,2,0,False
RNA,5,unorderedHistory,sourceGroupedDay21Fate,2,0,False
RNA,5,unorderedHistory,majorityDay21Fate,2,0,False
RNA,5,unorderedHistory,fateBreadth,2,0,False
RNA,5,reversedHistory,fineDay21Fate,2,0,False
RNA,5,reversedHistory,sourceGroupedDay21Fate,2,0,False
RNA,5,reversedHistory,majorityDay21Fate,2,0,False
RNA,5,reversedHistory,fateBreadth,2,0,False
RNA,5,transitionSignature,fineDay21Fate,9,0,False
RNA,5,transitionSignature,sourceGroupedDay21Fate,9,0,False
RNA,5,transitionSignature,majorityDay21Fate,9,0,False
RNA,5,transitionSignature,fateBreadth,9,1,False
ATAC,0,snapshotDay3,fineDay21Fate,1,0,False
ATAC,0,snapshotDay3,sourceGroupedDay21Fate,1,0,False
ATAC,0,snapshotDay3,majorityDay21Fate,1,0,False
ATAC,0,snapshotDay3,fateBreadth,1,0,False
ATAC,0,day12State,fineDay21Fate,1,0,False
ATAC,0,day12State,sourceGroupedDay21Fate,1,0,False
ATAC,0,day12State,majorityDay21Fate,1,0,False
ATAC,0,day12State,fateBreadth,1,0,False
ATAC,0,orderedHistory,fineDay21Fate,1,0,False
ATAC,0,orderedHistory,sourceGroupedDay21Fate,1,0,False
ATAC,0,orderedHistory,majorityDay21Fate,1,0,False
ATAC,0,orderedHistory,fateBreadth,1,0,False
ATAC,0,unorderedHistory,fineDay21Fate,1,0,False
ATAC,0,unorderedHistory,sourceGroupedDay21Fate,1,0,False
ATAC,0,unorderedHistory,majorityDay21Fate,1,0,False
ATAC,0,unorderedHistory,fateBreadth,1,0,False
ATAC,0,reversedHistory,fineDay21Fate,1,0,False
ATAC,0,reversedHistory,sourceGroupedDay21Fate,1,0,False
ATAC,0,reversedHistory,majorityDay21Fate,1,0,False
ATAC,0,reversedHistory,fateBreadth,1,0,False
ATAC,0,transitionSignature,fineDay21Fate,1,0,False
ATAC,0,transitionSignature,sourceGroupedDay21Fate,1,0,False
ATAC,0,transitionSignature,majorityDay21Fate,1,0,False
ATAC,0,transitionSignature,fateBreadth,1,0,False
ATAC,1,snapshotDay3,fineDay21Fate,9,0,False
ATAC,1,snapshotDay3,sourceGroupedDay21Fate,9,2,False
ATAC,1,snapshotDay3,majorityDay21Fate,9,1,False
ATAC,1,snapshotDay3,fateBreadth,9,0,False
ATAC,1,day12State,fineDay21Fate,8,1,False
ATAC,1,day12State,sourceGroupedDay21Fate,8,1,False
ATAC,1,day12State,majorityDay21Fate,8,1,False
ATAC,1,day12State,fateBreadth,8,3,False
ATAC,1,orderedHistory,fineDay21Fate,1,0,False
ATAC,1,orderedHistory,sourceGroupedDay21Fate,1,0,False
ATAC,1,orderedHistory,majorityDay21Fate,1,1,True
ATAC,1,orderedHistory,fateBreadth,1,1,True
ATAC,1,unorderedHistory,fineDay21Fate,4,0,False
ATAC,1,unorderedHistory,sourceGroupedDay21Fate,4,1,False
ATAC,1,unorderedHistory,majorityDay21Fate,4,1,False
ATAC,1,unorderedHistory,fateBreadth,4,1,False
ATAC,1,reversedHistory,fineDay21Fate,1,0,False
ATAC,1,reversedHistory,sourceGroupedDay21Fate,1,0,False
ATAC,1,reversedHistory,majorityDay21Fate,1,1,True
ATAC,1,reversedHistory,fateBreadth,1,1,True
ATAC,1,transitionSignature,fineDay21Fate,7,0,False
ATAC,1,transitionSignature,sourceGroupedDay21Fate,7,1,False
ATAC,1,transitionSignature,majorityDay21Fate,7,3,False
ATAC,1,transitionSignature,fateBreadth,7,3,False
ATAC,2,snapshotDay3,fineDay21Fate,4,1,False
ATAC,2,snapshotDay3,sourceGroupedDay21Fate,4,1,False
ATAC,2,snapshotDay3,majorityDay21Fate,4,1,False
ATAC,2,snapshotDay3,fateBreadth,4,1,False
ATAC,2,day12State,fineDay21Fate,3,0,False
ATAC,2,day12State,sourceGroupedDay21Fate,3,0,False
ATAC,2,day12State,majorityDay21Fate,3,0,False
ATAC,2,day12State,fateBreadth,3,0,False
ATAC,2,orderedHistory,fineDay21Fate,0,0,False
ATAC,2,orderedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,2,orderedHistory,majorityDay21Fate,0,0,False
ATAC,2,orderedHistory,fateBreadth,0,0,False
ATAC,2,unorderedHistory,fineDay21Fate,0,0,False
ATAC,2,unorderedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,2,unorderedHistory,majorityDay21Fate,0,0,False
ATAC,2,unorderedHistory,fateBreadth,0,0,False
ATAC,2,reversedHistory,fineDay21Fate,0,0,False
ATAC,2,reversedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,2,reversedHistory,majorityDay21Fate,0,0,False
ATAC,2,reversedHistory,fateBreadth,0,0,False
ATAC,2,transitionSignature,fineDay21Fate,0,0,False
ATAC,2,transitionSignature,sourceGroupedDay21Fate,0,0,False
ATAC,2,transitionSignature,majorityDay21Fate,0,0,False
ATAC,2,transitionSignature,fateBreadth,0,0,False
ATAC,4,snapshotDay3,fineDay21Fate,0,0,False
ATAC,4,snapshotDay3,sourceGroupedDay21Fate,0,0,False
ATAC,4,snapshotDay3,majorityDay21Fate,0,0,False
ATAC,4,snapshotDay3,fateBreadth,0,0,False
ATAC,4,day12State,fineDay21Fate,0,0,False
ATAC,4,day12State,sourceGroupedDay21Fate,0,0,False
ATAC,4,day12State,majorityDay21Fate,0,0,False
ATAC,4,day12State,fateBreadth,0,0,False
ATAC,4,orderedHistory,fineDay21Fate,0,0,False
ATAC,4,orderedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,4,orderedHistory,majorityDay21Fate,0,0,False
ATAC,4,orderedHistory,fateBreadth,0,0,False
ATAC,4,unorderedHistory,fineDay21Fate,0,0,False
ATAC,4,unorderedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,4,unorderedHistory,majorityDay21Fate,0,0,False
ATAC,4,unorderedHistory,fateBreadth,0,0,False
ATAC,4,reversedHistory,fineDay21Fate,0,0,False
ATAC,4,reversedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,4,reversedHistory,majorityDay21Fate,0,0,False
ATAC,4,reversedHistory,fateBreadth,0,0,False
ATAC,4,transitionSignature,fineDay21Fate,0,0,False
ATAC,4,transitionSignature,sourceGroupedDay21Fate,0,0,False
ATAC,4,transitionSignature,majorityDay21Fate,0,0,False
ATAC,4,transitionSignature,fateBreadth,0,0,False
ATAC,5,snapshotDay3,fineDay21Fate,0,0,False
ATAC,5,snapshotDay3,sourceGroupedDay21Fate,0,0,False
ATAC,5,snapshotDay3,majorityDay21Fate,0,0,False
ATAC,5,snapshotDay3,fateBreadth,0,0,False
ATAC,5,day12State,fineDay21Fate,0,0,False
ATAC,5,day12State,sourceGroupedDay21Fate,0,0,False
ATAC,5,day12State,majorityDay21Fate,0,0,False
ATAC,5,day12State,fateBreadth,0,0,False
ATAC,5,orderedHistory,fineDay21Fate,0,0,False
