replicate,modality,packageDepth,representation,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,clonesInMixedFibers,maximumFutureImageCardinality,majorityResidual,discordantClonePairCount,futurePairVisibility,recovers,stateInjective,nontrivialCompression
r1,RNA,0,orderedHistory,fineDay21Fate,206,1,0,0,1,206,76,165,19298,2850,False,False,True
r1,RNA,0,orderedHistory,sourceGroupedDay21Fate,206,1,0,0,1,206,46,117,16488,1035,False,False,True
r1,RNA,0,orderedHistory,majorityDay21Fate,206,1,0,0,1,206,3,121,13835,3,False,False,True
r1,RNA,0,orderedHistory,fateBreadth,206,1,0,0,1,206,3,105,12981,3,False,False,True
r1,ATAC,0,orderedHistory,fineDay21Fate,27,1,0,0,1,27,18,23,335,153,False,False,True
r1,ATAC,0,orderedHistory,sourceGroupedDay21Fate,27,1,0,0,1,27,12,17,294,66,False,False,True
r1,ATAC,0,orderedHistory,majorityDay21Fate,27,1,0,0,1,27,3,14,230,3,False,False,True
r1,ATAC,0,orderedHistory,fateBreadth,27,1,0,0,1,27,3,15,230,3,False,False,True
r1,MULTI,0,orderedHistory,fineDay21Fate,17,1,0,0,1,17,14,14,132,91,False,False,True
r1,MULTI,0,orderedHistory,sourceGroupedDay21Fate,17,1,0,0,1,17,10,13,123,45,False,False,True
r1,MULTI,0,orderedHistory,majorityDay21Fate,17,1,0,0,1,17,3,7,82,3,False,False,True
r1,MULTI,0,orderedHistory,fateBreadth,17,1,0,0,1,17,3,8,88,3,False,False,True
r1,RNA,1,orderedHistory,fineDay21Fate,206,30,13,14,16,191,27,140,2033,736,False,False,True
r1,RNA,1,orderedHistory,sourceGroupedDay21Fate,206,30,13,14,16,191,19,104,1654,393,False,False,True
r1,RNA,1,orderedHistory,majorityDay21Fate,206,30,13,15,15,187,3,93,1442,35,False,False,True
r1,RNA,1,orderedHistory,fateBreadth,206,30,13,15,15,189,3,94,1427,35,False,False,True
r1,ATAC,1,orderedHistory,fineDay21Fate,27,25,23,23,2,4,2,2,2,2,False,False,True
r1,ATAC,1,orderedHistory,sourceGroupedDay21Fate,27,25,23,23,2,4,2,2,2,2,False,False,True
r1,ATAC,1,orderedHistory,majorityDay21Fate,27,25,23,24,1,2,2,1,1,1,False,False,True
r1,ATAC,1,orderedHistory,fateBreadth,27,25,23,25,0,0,1,0,0,0,True,False,True
r1,MULTI,1,orderedHistory,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,orderedHistory,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,orderedHistory,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,orderedHistory,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,RNA,2,orderedHistory,fineDay21Fate,206,116,77,81,35,121,17,78,437,233,False,False,True
r1,RNA,2,orderedHistory,sourceGroupedDay21Fate,206,116,77,86,30,110,11,58,358,119,False,False,True
r1,RNA,2,orderedHistory,majorityDay21Fate,206,116,77,87,29,107,3,54,314,37,False,False,True
r1,RNA,2,orderedHistory,fateBreadth,206,116,77,92,24,96,3,44,300,34,False,False,True
r1,ATAC,2,orderedHistory,fineDay21Fate,27,27,27,27,0,0,1,0,0,0,True,True,False
r1,ATAC,2,orderedHistory,sourceGroupedDay21Fate,27,27,27,27,0,0,1,0,0,0,True,True,False
r1,ATAC,2,orderedHistory,majorityDay21Fate,27,27,27,27,0,0,1,0,0,0,True,True,False
r1,ATAC,2,orderedHistory,fateBreadth,27,27,27,27,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,RNA,4,orderedHistory,fineDay21Fate,206,165,149,149,16,57,15,37,227,131,False,False,True
r1,RNA,4,orderedHistory,sourceGroupedDay21Fate,206,165,149,152,13,50,10,28,198,64,False,False,True
r1,RNA,4,orderedHistory,majorityDay21Fate,206,165,149,154,11,46,3,24,158,17,False,False,True
r1,RNA,4,orderedHistory,fateBreadth,206,165,149,151,14,53,3,29,166,22,False,False,True
r1,ATAC,4,orderedHistory,fineDay21Fate,27,27,27,27,0,0,1,0,0,0,True,True,False
r1,ATAC,4,orderedHistory,sourceGroupedDay21Fate,27,27,27,27,0,0,1,0,0,0,True,True,False
r1,ATAC,4,orderedHistory,majorityDay21Fate,27,27,27,27,0,0,1,0,0,0,True,True,False
r1,ATAC,4,orderedHistory,fateBreadth,27,27,27,27,0,0,1,0,0,0,True,True,False
