replicate,modality,packageDepth,representation,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,clonesInMixedFibers,maximumFutureImageCardinality,majorityResidual,discordantClonePairCount,futurePairVisibility,recovers,stateInjective,nontrivialCompression
r1,MULTI,0,orderedHistory,fineDay21Fate,17,1,0,0,1,17,14,14,132,91,False,False,True
r1,MULTI,0,orderedHistory,sourceGroupedDay21Fate,17,1,0,0,1,17,10,13,123,45,False,False,True
r1,MULTI,0,orderedHistory,majorityDay21Fate,17,1,0,0,1,17,3,7,82,3,False,False,True
r1,MULTI,0,orderedHistory,fateBreadth,17,1,0,0,1,17,3,8,88,3,False,False,True
r1,MULTI,1,orderedHistory,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,orderedHistory,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,orderedHistory,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,orderedHistory,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,orderedHistory,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,4,orderedHistory,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,4,orderedHistory,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,4,orderedHistory,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,4,orderedHistory,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,orderedHistory,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,orderedHistory,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,orderedHistory,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,orderedHistory,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r2,MULTI,0,orderedHistory,fineDay21Fate,24,1,0,0,1,24,11,16,241,55,False,False,True
r2,MULTI,0,orderedHistory,sourceGroupedDay21Fate,24,1,0,0,1,24,7,10,180,21,False,False,True
r2,MULTI,0,orderedHistory,majorityDay21Fate,24,1,0,0,1,24,3,15,189,3,False,False,True
r2,MULTI,0,orderedHistory,fateBreadth,24,1,0,0,1,24,3,11,161,3,False,False,True
r2,MULTI,1,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,1,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,1,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,1,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
