replicate,modality,packageDepth,endpoint,snapshotResidual,historyResidual,snapshotMixedFibers,historyMixedFibers,snapshotPartitionSize,historyPartitionSize,snapshotFateCollisions,historyFateCollisions
r1,RNA,0,fineDay21Fate,165,165,1,1,1,1,19298,19298
r1,RNA,0,sourceGroupedDay21Fate,117,117,1,1,1,1,16488,16488
r1,RNA,0,majorityDay21Fate,121,121,1,1,1,1,13835,13835
r1,RNA,0,fateBreadth,105,105,1,1,1,1,12981,12981
r1,ATAC,0,fineDay21Fate,23,23,1,1,1,1,335,335
r1,ATAC,0,sourceGroupedDay21Fate,17,17,1,1,1,1,294,294
r1,ATAC,0,majorityDay21Fate,14,14,1,1,1,1,230,230
r1,ATAC,0,fateBreadth,15,15,1,1,1,1,230,230
r1,MULTI,0,fineDay21Fate,14,14,1,1,1,1,132,132
r1,MULTI,0,sourceGroupedDay21Fate,13,13,1,1,1,1,123,123
r1,MULTI,0,majorityDay21Fate,7,7,1,1,1,1,82,82
r1,MULTI,0,fateBreadth,8,8,1,1,1,1,88,88
r1,RNA,1,fineDay21Fate,149,140,16,16,16,30,2307,2033
r1,RNA,1,sourceGroupedDay21Fate,111,104,16,16,16,30,1882,1654
r1,RNA,1,majorityDay21Fate,101,93,16,15,16,30,1650,1442
r1,RNA,1,fateBreadth,98,94,15,15,16,30,1599,1427
r1,ATAC,1,fineDay21Fate,11,2,6,2,16,25,19,2
r1,ATAC,1,sourceGroupedDay21Fate,9,2,5,2,16,25,17,2
r1,ATAC,1,majorityDay21Fate,6,1,5,1,16,25,12,1
r1,ATAC,1,fateBreadth,5,0,4,0,16,25,11,0
r1,MULTI,1,fineDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,1,sourceGroupedDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,1,majorityDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,1,fateBreadth,0,0,0,0,17,17,0,0
r1,RNA,2,fineDay21Fate,101,78,44,35,87,116,618,437
r1,RNA,2,sourceGroupedDay21Fate,75,58,38,30,87,116,503,358
r1,RNA,2,majorityDay21Fate,71,54,40,29,87,116,449,314
r1,RNA,2,fateBreadth,58,44,33,24,87,116,420,300
r1,ATAC,2,fineDay21Fate,3,0,2,0,24,27,4,0
r1,ATAC,2,sourceGroupedDay21Fate,3,0,2,0,24,27,4,0
r1,ATAC,2,majorityDay21Fate,1,0,1,0,24,27,1,0
r1,ATAC,2,fateBreadth,2,0,2,0,24,27,3,0
r1,MULTI,2,fineDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,2,sourceGroupedDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,2,majorityDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,2,fateBreadth,0,0,0,0,17,17,0,0
r1,RNA,4,fineDay21Fate,47,37,20,16,149,165,385,227
r1,RNA,4,sourceGroupedDay21Fate,37,28,17,13,149,165,338,198
r1,RNA,4,majorityDay21Fate,33,24,14,11,149,165,268,158
r1,RNA,4,fateBreadth,36,29,18,14,149,165,282,166
r1,ATAC,4,fineDay21Fate,2,0,2,0,25,27,2,0
r1,ATAC,4,sourceGroupedDay21Fate,2,0,2,0,25,27,2,0
r1,ATAC,4,majorityDay21Fate,1,0,1,0,25,27,1,0
r1,ATAC,4,fateBreadth,2,0,2,0,25,27,2,0
r1,MULTI,4,fineDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,4,sourceGroupedDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,4,majorityDay21Fate,0,0,0,0,17,17,0,0
r1,MULTI,4,fateBreadth,0,0,0,0,17,17,0,0
r1,RNA,5,fineDay21Fate,18,5,9,4,186,201,44,6
r1,RNA,5,sourceGroupedDay21Fate,12,2,7,2,186,201,33,2
r1,RNA,5,majorityDay21Fate,11,3,7,3,186,201,30,4
r1,RNA,5,fateBreadth,13,4,8,4,186,201,33,5
