replicate,modality,packageDepth,representation,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,clonesInMixedFibers,maximumFutureImageCardinality,majorityResidual,discordantClonePairCount,futurePairVisibility,recovers,stateInjective,nontrivialCompression
r1,RNA,0,snapshotDay3,fineDay21Fate,206,1,0,0,1,206,76,165,19298,2850,False,False,True
r1,RNA,0,snapshotDay3,sourceGroupedDay21Fate,206,1,0,0,1,206,46,117,16488,1035,False,False,True
r1,RNA,0,snapshotDay3,majorityDay21Fate,206,1,0,0,1,206,3,121,13835,3,False,False,True
r1,RNA,0,snapshotDay3,fateBreadth,206,1,0,0,1,206,3,105,12981,3,False,False,True
r1,ATAC,0,snapshotDay3,fineDay21Fate,27,1,0,0,1,27,18,23,335,153,False,False,True
r1,ATAC,0,snapshotDay3,sourceGroupedDay21Fate,27,1,0,0,1,27,12,17,294,66,False,False,True
r1,ATAC,0,snapshotDay3,majorityDay21Fate,27,1,0,0,1,27,3,14,230,3,False,False,True
r1,ATAC,0,snapshotDay3,fateBreadth,27,1,0,0,1,27,3,15,230,3,False,False,True
r1,MULTI,0,snapshotDay3,fineDay21Fate,17,1,0,0,1,17,14,14,132,91,False,False,True
r1,MULTI,0,snapshotDay3,sourceGroupedDay21Fate,17,1,0,0,1,17,10,13,123,45,False,False,True
r1,MULTI,0,snapshotDay3,majorityDay21Fate,17,1,0,0,1,17,3,7,82,3,False,False,True
r1,MULTI,0,snapshotDay3,fateBreadth,17,1,0,0,1,17,3,8,88,3,False,False,True
r1,RNA,1,snapshotDay3,fineDay21Fate,206,16,0,0,16,206,28,149,2307,786,False,False,True
r1,RNA,1,snapshotDay3,sourceGroupedDay21Fate,206,16,0,0,16,206,20,111,1882,423,False,False,True
r1,RNA,1,snapshotDay3,majorityDay21Fate,206,16,0,0,16,206,3,101,1650,36,False,False,True
r1,RNA,1,snapshotDay3,fateBreadth,206,16,0,1,15,203,3,98,1599,35,False,False,True
r1,ATAC,1,snapshotDay3,fineDay21Fate,27,16,10,10,6,17,5,11,19,19,False,False,True
r1,ATAC,1,snapshotDay3,sourceGroupedDay21Fate,27,16,10,11,5,15,4,9,17,14,False,False,True
r1,ATAC,1,snapshotDay3,majorityDay21Fate,27,16,10,11,5,14,3,6,12,7,False,False,True
r1,ATAC,1,snapshotDay3,fateBreadth,27,16,10,12,4,13,2,5,11,4,False,False,True
r1,MULTI,1,snapshotDay3,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,snapshotDay3,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,snapshotDay3,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,1,snapshotDay3,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,RNA,2,snapshotDay3,fineDay21Fate,206,87,40,43,44,160,18,101,618,292,False,False,True
r1,RNA,2,snapshotDay3,sourceGroupedDay21Fate,206,87,40,49,38,146,12,75,503,156,False,False,True
r1,RNA,2,snapshotDay3,majorityDay21Fate,206,87,40,47,40,151,3,71,449,54,False,False,True
r1,RNA,2,snapshotDay3,fateBreadth,206,87,40,54,33,134,3,58,420,47,False,False,True
