package,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,futureFatePairVisibility,recovers,stateInjective,nontrivialCompression
A0,finePooled,201,1,0,0,1,201,127,155,19003,8001,False,False,True
A0,sourceGroupedPooled,201,1,0,0,1,201,113,155,18925,6328,False,False,True
A0,majorityPooled,201,1,0,0,1,201,7,88,12449,21,False,False,True
A0,fateBreadth,201,1,0,0,1,201,9,132,15457,36,False,False,True
A0,arm1Fine,201,1,0,0,1,201,86,142,17679,3655,False,False,True
A0,arm2Fine,201,1,0,0,1,201,86,148,17917,3655,False,False,True
A0,armInvariantFine,89,1,0,0,1,89,22,22,1704,231,False,False,True
A0,persistentK1Stable,89,1,0,0,1,89,22,22,1704,231,False,False,True
A0,persistentK1RealizationSet,89,1,0,0,1,89,22,22,1704,231,False,False,True
A0,persistentK2Stable,22,1,0,0,1,22,5,4,78,10,False,False,True
A0,persistentK2RealizationSet,89,1,0,0,1,89,72,71,3763,2556,False,False,True
A0,persistentK3Stable,19,1,0,0,1,19,6,7,102,15,False,False,True
A0,persistentK3RealizationSet,89,1,0,0,1,89,76,77,3847,2850,False,False,True
A0,persistentK4Stable,18,1,0,0,1,18,6,7,95,15,False,False,True
A0,persistentK4RealizationSet,89,1,0,0,1,89,77,78,3858,2926,False,False,True
A0,persistentK5Stable,17,1,0,0,1,17,6,7,88,15,False,False,True
A0,persistentK5RealizationSet,89,1,0,0,1,89,78,79,3868,3003,False,False,True
A0,persistentK6Stable,16,1,0,0,1,16,6,7,81,15,False,False,True
A0,persistentK6RealizationSet,89,1,0,0,1,89,79,80,3877,3081,False,False,True
A0,persistentK7Stable,13,1,0,0,1,13,6,7,60,15,False,False,True
A0,persistentK7RealizationSet,89,1,0,0,1,89,80,83,3895,3160,False,False,True
A1,finePooled,201,38,6,6,32,195,14,139,701,531,False,False,True
A1,sourceGroupedPooled,201,38,6,6,32,195,13,138,696,483,False,False,True
A1,majorityPooled,201,38,6,10,28,186,5,76,442,17,False,False,True
A1,fateBreadth,201,38,6,6,32,195,6,102,543,26,False,False,True
A1,arm1Fine,201,38,6,6,32,195,9,123,644,292,False,False,True
A1,arm2Fine,201,38,6,6,32,195,11,123,659,339,False,False,True
A1,armInvariantFine,89,34,16,24,10,38,4,18,54,28,False,False,True
A1,persistentK1Stable,89,34,16,24,10,38,4,18,54,28,False,False,True
A1,persistentK1RealizationSet,89,34,16,24,10,38,4,18,54,28,False,False,True
A1,persistentK2Stable,22,17,13,16,1,2,2,1,1,1,False,False,True
A1,persistentK2RealizationSet,89,34,16,16,18,73,8,51,148,127,False,False,True
A1,persistentK3Stable,19,15,12,13,2,5,2,2,3,2,False,False,True
A1,persistentK3RealizationSet,89,34,16,16,18,73,9,53,151,138,False,False,True
A1,persistentK4Stable,18,15,13,13,2,5,2,2,3,2,False,False,True
A1,persistentK4RealizationSet,89,34,16,16,18,73,9,54,152,144,False,False,True
A1,persistentK5Stable,17,14,12,12,2,5,2,2,3,2,False,False,True
A1,persistentK5RealizationSet,89,34,16,16,18,73,9,54,152,144,False,False,True
A1,persistentK6Stable,16,13,11,11,2,5,2,2,3,2,False,False,True
A1,persistentK6RealizationSet,89,34,16,16,18,73,9,54,152,144,False,False,True
A1,persistentK7Stable,13,10,8,8,2,5,2,2,3,2,False,False,True
A1,persistentK7RealizationSet,89,34,16,16,18,73,9,54,152,144,False,False,True
A2,finePooled,201,173,153,154,19,46,6,25,47,37,False,False,True
A2,sourceGroupedPooled,201,173,153,154,19,46,5,24,45,30,False,False,True
A2,majorityPooled,201,173,153,163,10,26,4,13,30,6,False,False,True
A2,fateBreadth,201,173,153,156,17,42,2,18,30,7,False,False,True
A2,arm1Fine,201,173,153,156,17,42,4,20,37,23,False,False,True
A2,arm2Fine,201,173,153,157,16,40,5,21,42,22,False,False,True
A2,armInvariantFine,89,86,83,86,0,0,1,0,0,0,True,False,True
A2,persistentK1Stable,89,86,83,86,0,0,1,0,0,0,True,False,True
A2,persistentK1RealizationSet,89,86,83,86,0,0,1,0,0,0,True,False,True
A2,persistentK2Stable,22,22,22,22,0,0,1,0,0,0,True,True,False
A2,persistentK2RealizationSet,89,86,83,83,3,6,2,3,3,3,False,False,True
A2,persistentK3Stable,19,19,19,19,0,0,1,0,0,0,True,True,False
A2,persistentK3RealizationSet,89,86,83,83,3,6,2,3,3,3,False,False,True
A2,persistentK4Stable,18,18,18,18,0,0,1,0,0,0,True,True,False
A2,persistentK4RealizationSet,89,86,83,83,3,6,2,3,3,3,False,False,True
A2,persistentK5Stable,17,17,17,17,0,0,1,0,0,0,True,True,False
A2,persistentK5RealizationSet,89,86,83,83,3,6,2,3,3,3,False,False,True
A2,persistentK6Stable,16,16,16,16,0,0,1,0,0,0,True,True,False
A2,persistentK6RealizationSet,89,86,83,83,3,6,2,3,3,3,False,False,True
A2,persistentK7Stable,13,13,13,13,0,0,1,0,0,0,True,True,False
A2,persistentK7RealizationSet,89,86,83,83,3,6,2,3,3,3,False,False,True
A4,finePooled,201,195,192,192,3,9,4,5,11,8,False,False,True
A4,sourceGroupedPooled,201,195,192,192,3,9,4,5,11,8,False,False,True
A4,majorityPooled,201,195,192,193,2,7,3,3,8,4,False,False,True
A4,fateBreadth,201,195,192,193,2,7,2,3,7,1,False,False,True
A4,arm1Fine,201,195,192,193,2,7,4,4,10,7,False,False,True
A4,arm2Fine,201,195,192,192,3,9,3,5,10,4,False,False,True
A4,armInvariantFine,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK1Stable,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK1RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK2Stable,22,22,22,22,0,0,1,0,0,0,True,True,False
A4,persistentK2RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK3Stable,19,19,19,19,0,0,1,0,0,0,True,True,False
A4,persistentK3RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK4Stable,18,18,18,18,0,0,1,0,0,0,True,True,False
A4,persistentK4RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK5Stable,17,17,17,17,0,0,1,0,0,0,True,True,False
A4,persistentK5RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK6Stable,16,16,16,16,0,0,1,0,0,0,True,True,False
A4,persistentK6RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A4,persistentK7Stable,13,13,13,13,0,0,1,0,0,0,True,True,False
A4,persistentK7RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,finePooled,201,195,192,192,3,9,4,5,11,8,False,False,True
A5,sourceGroupedPooled,201,195,192,192,3,9,4,5,11,8,False,False,True
A5,majorityPooled,201,195,192,193,2,7,3,3,8,4,False,False,True
A5,fateBreadth,201,195,192,193,2,7,2,3,7,1,False,False,True
A5,arm1Fine,201,195,192,193,2,7,4,4,10,7,False,False,True
A5,arm2Fine,201,195,192,192,3,9,3,5,10,4,False,False,True
A5,armInvariantFine,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK1Stable,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK1RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK2Stable,22,22,22,22,0,0,1,0,0,0,True,True,False
A5,persistentK2RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK3Stable,19,19,19,19,0,0,1,0,0,0,True,True,False
A5,persistentK3RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK4Stable,18,18,18,18,0,0,1,0,0,0,True,True,False
A5,persistentK4RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK5Stable,17,17,17,17,0,0,1,0,0,0,True,True,False
A5,persistentK5RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK6Stable,16,16,16,16,0,0,1,0,0,0,True,True,False
A5,persistentK6RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
A5,persistentK7Stable,13,13,13,13,0,0,1,0,0,0,True,True,False
A5,persistentK7RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
