package,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,futureFatePairVisibility,recovers,stateInjective,nontrivialCompression
J0,finePooled,201,1,0,0,1,201,127,155,19003,8001,False,False,True
J0,sourceGroupedPooled,201,1,0,0,1,201,113,155,18925,6328,False,False,True
J0,majorityPooled,201,1,0,0,1,201,7,88,12449,21,False,False,True
J0,fateBreadth,201,1,0,0,1,201,9,132,15457,36,False,False,True
J0,arm1Fine,201,1,0,0,1,201,86,142,17679,3655,False,False,True
J0,arm2Fine,201,1,0,0,1,201,86,148,17917,3655,False,False,True
J0,armInvariantFine,89,1,0,0,1,89,22,22,1704,231,False,False,True
J0,persistentK1Stable,89,1,0,0,1,89,22,22,1704,231,False,False,True
J0,persistentK1RealizationSet,89,1,0,0,1,89,22,22,1704,231,False,False,True
J0,persistentK2Stable,22,1,0,0,1,22,5,4,78,10,False,False,True
J0,persistentK2RealizationSet,89,1,0,0,1,89,72,71,3763,2556,False,False,True
J0,persistentK3Stable,19,1,0,0,1,19,6,7,102,15,False,False,True
J0,persistentK3RealizationSet,89,1,0,0,1,89,76,77,3847,2850,False,False,True
J0,persistentK4Stable,18,1,0,0,1,18,6,7,95,15,False,False,True
J0,persistentK4RealizationSet,89,1,0,0,1,89,77,78,3858,2926,False,False,True
J0,persistentK5Stable,17,1,0,0,1,17,6,7,88,15,False,False,True
J0,persistentK5RealizationSet,89,1,0,0,1,89,78,79,3868,3003,False,False,True
J0,persistentK6Stable,16,1,0,0,1,16,6,7,81,15,False,False,True
J0,persistentK6RealizationSet,89,1,0,0,1,89,79,80,3877,3081,False,False,True
J0,persistentK7Stable,13,1,0,0,1,13,6,7,60,15,False,False,True
J0,persistentK7RealizationSet,89,1,0,0,1,89,80,83,3895,3160,False,False,True
J1,finePooled,201,133,97,100,33,97,7,61,123,107,False,False,True
J1,sourceGroupedPooled,201,133,97,101,32,95,7,60,121,99,False,False,True
J1,majorityPooled,201,133,97,107,26,82,4,38,85,14,False,False,True
J1,fateBreadth,201,133,97,107,26,82,4,40,93,16,False,False,True
J1,arm1Fine,201,133,97,101,32,96,5,53,110,70,False,False,True
J1,arm2Fine,201,133,97,100,33,98,7,57,119,88,False,False,True
J1,armInvariantFine,89,70,60,65,5,14,3,7,11,8,False,False,True
J1,persistentK1Stable,89,70,60,65,5,14,3,7,11,8,False,False,True
J1,persistentK1RealizationSet,89,70,60,65,5,14,3,7,11,8,False,False,True
J1,persistentK2Stable,22,21,20,21,0,0,1,0,0,0,True,False,True
J1,persistentK2RealizationSet,89,70,60,60,10,29,4,18,31,28,False,False,True
J1,persistentK3Stable,19,18,17,17,1,2,2,1,1,1,False,False,True
J1,persistentK3RealizationSet,89,70,60,60,10,29,5,19,32,32,False,False,True
J1,persistentK4Stable,18,17,16,16,1,2,2,1,1,1,False,False,True
J1,persistentK4RealizationSet,89,70,60,60,10,29,5,19,32,32,False,False,True
J1,persistentK5Stable,17,16,15,15,1,2,2,1,1,1,False,False,True
J1,persistentK5RealizationSet,89,70,60,60,10,29,5,19,32,32,False,False,True
J1,persistentK6Stable,16,15,14,14,1,2,2,1,1,1,False,False,True
J1,persistentK6RealizationSet,89,70,60,60,10,29,5,19,32,32,False,False,True
J1,persistentK7Stable,13,12,11,11,1,2,2,1,1,1,False,False,True
J1,persistentK7RealizationSet,89,70,60,60,10,29,5,19,32,32,False,False,True
J2,finePooled,201,199,197,198,1,2,2,1,1,1,False,False,True
J2,sourceGroupedPooled,201,199,197,198,1,2,2,1,1,1,False,False,True
J2,majorityPooled,201,199,197,199,0,0,1,0,0,0,True,False,True
J2,fateBreadth,201,199,197,198,1,2,2,1,1,1,False,False,True
J2,arm1Fine,201,199,197,197,2,4,2,2,2,2,False,False,True
J2,arm2Fine,201,199,197,198,1,2,2,1,1,1,False,False,True
J2,armInvariantFine,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK1Stable,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK1RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK2Stable,22,22,22,22,0,0,1,0,0,0,True,True,False
J2,persistentK2RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK3Stable,19,19,19,19,0,0,1,0,0,0,True,True,False
J2,persistentK3RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK4Stable,18,18,18,18,0,0,1,0,0,0,True,True,False
J2,persistentK4RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK5Stable,17,17,17,17,0,0,1,0,0,0,True,True,False
J2,persistentK5RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK6Stable,16,16,16,16,0,0,1,0,0,0,True,True,False
J2,persistentK6RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J2,persistentK7Stable,13,13,13,13,0,0,1,0,0,0,True,True,False
J2,persistentK7RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,finePooled,201,200,199,199,1,2,2,1,1,1,False,False,True
J4,sourceGroupedPooled,201,200,199,199,1,2,2,1,1,1,False,False,True
J4,majorityPooled,201,200,199,200,0,0,1,0,0,0,True,False,True
J4,fateBreadth,201,200,199,199,1,2,2,1,1,1,False,False,True
J4,arm1Fine,201,200,199,199,1,2,2,1,1,1,False,False,True
J4,arm2Fine,201,200,199,200,0,0,1,0,0,0,True,False,True
J4,armInvariantFine,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK1Stable,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK1RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK2Stable,22,22,22,22,0,0,1,0,0,0,True,True,False
J4,persistentK2RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK3Stable,19,19,19,19,0,0,1,0,0,0,True,True,False
J4,persistentK3RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK4Stable,18,18,18,18,0,0,1,0,0,0,True,True,False
J4,persistentK4RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK5Stable,17,17,17,17,0,0,1,0,0,0,True,True,False
J4,persistentK5RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK6Stable,16,16,16,16,0,0,1,0,0,0,True,True,False
J4,persistentK6RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J4,persistentK7Stable,13,13,13,13,0,0,1,0,0,0,True,True,False
J4,persistentK7RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,finePooled,201,201,201,201,0,0,1,0,0,0,True,True,False
J5,sourceGroupedPooled,201,201,201,201,0,0,1,0,0,0,True,True,False
J5,majorityPooled,201,201,201,201,0,0,1,0,0,0,True,True,False
J5,fateBreadth,201,201,201,201,0,0,1,0,0,0,True,True,False
J5,arm1Fine,201,201,201,201,0,0,1,0,0,0,True,True,False
J5,arm2Fine,201,201,201,201,0,0,1,0,0,0,True,True,False
J5,armInvariantFine,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK1Stable,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK1RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK2Stable,22,22,22,22,0,0,1,0,0,0,True,True,False
J5,persistentK2RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK3Stable,19,19,19,19,0,0,1,0,0,0,True,True,False
J5,persistentK3RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK4Stable,18,18,18,18,0,0,1,0,0,0,True,True,False
J5,persistentK4RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK5Stable,17,17,17,17,0,0,1,0,0,0,True,True,False
J5,persistentK5RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK6Stable,16,16,16,16,0,0,1,0,0,0,True,True,False
J5,persistentK6RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
J5,persistentK7Stable,13,13,13,13,0,0,1,0,0,0,True,True,False
J5,persistentK7RealizationSet,89,89,89,89,0,0,1,0,0,0,True,True,False
