package,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,futureFatePairVisibility,recovers,stateInjective,nontrivialCompression
P0,finePooled,201,1,0,0,1,201,127,155,19003,8001,False,False,True
P0,sourceGroupedPooled,201,1,0,0,1,201,113,155,18925,6328,False,False,True
P0,majorityPooled,201,1,0,0,1,201,7,88,12449,21,False,False,True
P0,fateBreadth,201,1,0,0,1,201,9,132,15457,36,False,False,True
P0,arm1Fine,201,1,0,0,1,201,86,142,17679,3655,False,False,True
P0,arm2Fine,201,1,0,0,1,201,86,148,17917,3655,False,False,True
P0,armInvariantFine,89,1,0,0,1,89,22,22,1704,231,False,False,True
P0,persistentK1Stable,89,1,0,0,1,89,22,22,1704,231,False,False,True
P0,persistentK1RealizationSet,89,1,0,0,1,89,22,22,1704,231,False,False,True
P0,persistentK2Stable,22,1,0,0,1,22,5,4,78,10,False,False,True
P0,persistentK2RealizationSet,89,1,0,0,1,89,72,71,3763,2556,False,False,True
P0,persistentK3Stable,19,1,0,0,1,19,6,7,102,15,False,False,True
P0,persistentK3RealizationSet,89,1,0,0,1,89,76,77,3847,2850,False,False,True
P0,persistentK4Stable,18,1,0,0,1,18,6,7,95,15,False,False,True
P0,persistentK4RealizationSet,89,1,0,0,1,89,77,78,3858,2926,False,False,True
P0,persistentK5Stable,17,1,0,0,1,17,6,7,88,15,False,False,True
P0,persistentK5RealizationSet,89,1,0,0,1,89,78,79,3868,3003,False,False,True
P0,persistentK6Stable,16,1,0,0,1,16,6,7,81,15,False,False,True
P0,persistentK6RealizationSet,89,1,0,0,1,89,79,80,3877,3081,False,False,True
P0,persistentK7Stable,13,1,0,0,1,13,6,7,60,15,False,False,True
P0,persistentK7RealizationSet,89,1,0,0,1,89,80,83,3895,3160,False,False,True
P1,finePooled,201,16,1,1,15,200,51,152,3327,1825,False,False,True
P1,sourceGroupedPooled,201,16,1,1,15,200,49,151,3320,1647,False,False,True
P1,majorityPooled,201,16,1,2,14,198,7,86,2306,21,False,False,True
P1,fateBreadth,201,16,1,3,13,196,7,124,2703,33,False,False,True
P1,arm1Fine,201,16,1,2,14,198,35,131,3080,923,False,False,True
P1,arm2Fine,201,16,1,1,15,200,38,137,3176,973,False,False,True
P1,armInvariantFine,89,14,2,7,7,69,9,21,331,59,False,False,True
P1,persistentK1Stable,89,14,2,7,7,69,9,21,331,59,False,False,True
P1,persistentK1RealizationSet,89,14,2,7,7,69,9,21,331,59,False,False,True
P1,persistentK2Stable,22,8,5,7,1,12,4,3,30,6,False,False,True
P1,persistentK2RealizationSet,89,14,2,2,12,87,31,64,804,557,False,False,True
P1,persistentK3Stable,19,7,5,6,1,11,5,5,39,10,False,False,True
P1,persistentK3RealizationSet,89,14,2,2,12,87,33,68,825,624,False,False,True
P1,persistentK4Stable,18,6,4,5,1,11,5,5,39,10,False,False,True
P1,persistentK4RealizationSet,89,14,2,2,12,87,33,68,825,624,False,False,True
P1,persistentK5Stable,17,6,4,5,1,11,5,5,39,10,False,False,True
P1,persistentK5RealizationSet,89,14,2,2,12,87,33,69,827,627,False,False,True
P1,persistentK6Stable,16,6,5,5,1,11,5,5,39,10,False,False,True
P1,persistentK6RealizationSet,89,14,2,2,12,87,33,70,828,631,False,False,True
P1,persistentK7Stable,13,6,5,5,1,8,5,5,24,10,False,False,True
P1,persistentK7RealizationSet,89,14,2,2,12,87,34,73,837,664,False,False,True
P2,finePooled,201,102,71,72,30,128,17,86,452,285,False,False,True
P2,sourceGroupedPooled,201,102,71,72,30,128,17,86,452,281,False,False,True
P2,majorityPooled,201,102,71,76,26,118,4,51,307,14,False,False,True
P2,fateBreadth,201,102,71,73,29,126,5,65,345,18,False,False,True
P2,arm1Fine,201,102,71,72,30,128,13,77,417,175,False,False,True
P2,arm2Fine,201,102,71,71,31,130,14,77,419,197,False,False,True
P2,armInvariantFine,89,54,40,45,9,39,3,10,34,11,False,False,True
P2,persistentK1Stable,89,54,40,45,9,39,3,10,34,11,False,False,True
P2,persistentK1RealizationSet,89,54,40,45,9,39,3,10,34,11,False,False,True
P2,persistentK2Stable,22,18,17,17,1,5,2,1,4,1,False,False,True
P2,persistentK2RealizationSet,89,54,40,40,14,49,12,32,137,104,False,False,True
P2,persistentK3Stable,19,15,14,14,1,5,3,2,7,3,False,False,True
P2,persistentK3RealizationSet,89,54,40,40,14,49,13,33,140,116,False,False,True
P2,persistentK4Stable,18,14,13,13,1,5,3,2,7,3,False,False,True
P2,persistentK4RealizationSet,89,54,40,40,14,49,13,33,140,116,False,False,True
P2,persistentK5Stable,17,13,12,12,1,5,3,2,7,3,False,False,True
P2,persistentK5RealizationSet,89,54,40,40,14,49,13,33,140,116,False,False,True
P2,persistentK6Stable,16,12,11,11,1,5,3,2,7,3,False,False,True
P2,persistentK6RealizationSet,89,54,40,40,14,49,13,33,140,116,False,False,True
P2,persistentK7Stable,13,10,9,9,1,4,3,2,5,3,False,False,True
