package,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,futureFatePairVisibility,recovers,stateInjective,nontrivialCompression
P0,finePooled,1453,1,0,0,1,1453,671,1148,1003605,224785,False,False,True
P0,sourceGroupedPooled,1453,1,0,0,1,1453,498,1148,994091,123753,False,False,True
P0,majorityPooled,1453,1,0,0,1,1453,7,750,731513,21,False,False,True
P0,arm1Fine,959,1,0,0,1,959,397,750,434005,78606,False,False,True
P0,arm2Fine,1018,1,0,0,1,1018,423,751,479367,89253,False,False,True
P0,fateBreadth,1453,1,0,0,1,1453,9,882,781223,36,False,False,True
P1,finePooled,1453,16,0,0,16,1453,266,1148,158325,54695,False,False,True
P1,sourceGroupedPooled,1453,16,0,0,16,1453,212,1148,156686,34835,False,False,True
P1,majorityPooled,1453,16,0,0,16,1453,7,750,118637,21,False,False,True
P1,arm1Fine,959,16,0,0,16,959,161,750,66871,20408,False,False,True
P1,arm2Fine,1018,16,0,0,16,1018,169,751,77162,22768,False,False,True
P1,fateBreadth,1453,16,0,0,16,1453,9,866,122410,36,False,False,True
P2,finePooled,1453,216,34,37,179,1412,111,1058,22123,10566,False,False,True
P2,sourceGroupedPooled,1453,216,34,37,179,1412,94,1046,21857,7690,False,False,True
P2,majorityPooled,1453,216,34,56,160,1358,7,693,16974,21,False,False,True
P2,arm1Fine,959,194,49,53,141,901,66,668,9303,4044,False,False,True
P2,arm2Fine,1018,204,50,57,147,953,74,664,11420,4754,False,False,True
P2,fateBreadth,1453,216,34,52,164,1366,8,747,17023,35,False,False,True
P4,finePooled,1453,869,634,641,228,805,78,534,6899,3902,False,False,True
P4,sourceGroupedPooled,1453,869,634,644,225,799,69,522,6817,3073,False,False,True
P4,majorityPooled,1453,869,634,684,185,709,7,367,5380,21,False,False,True
P4,arm1Fine,959,629,491,498,131,454,49,300,3177,1581,False,False,True
P4,arm2Fine,1018,658,504,513,145,496,51,318,3503,1723,False,False,True
P4,fateBreadth,1453,869,634,674,195,736,7,380,5397,31,False,False,True
P5,finePooled,1453,1065,891,897,168,550,47,356,2564,1627,False,False,True
P5,sourceGroupedPooled,1453,1065,891,901,164,542,41,343,2509,1262,False,False,True
P5,majorityPooled,1453,1065,891,928,137,480,6,251,1998,17,False,False,True
P5,arm1Fine,959,736,628,635,101,317,33,206,1286,760,False,False,True
P5,arm2Fine,1018,804,702,706,98,308,25,190,1016,572,False,False,True
P5,fateBreadth,1453,1065,891,928,137,486,6,248,1965,20,False,False,True
P0,armInvariantFine,524,1,0,0,1,524,128,137,62314,8128,False,False,True
P1,armInvariantFine,524,16,0,2,14,515,44,137,9911,1594,False,False,True
P2,armInvariantFine,524,164,63,104,60,357,15,125,1386,297,False,False,True
P4,armInvariantFine,524,373,308,337,36,149,13,58,551,133,False,False,True
P5,armInvariantFine,524,440,398,418,22,80,6,31,142,44,False,False,True
