system,dataset,replicate,familyID,carrierID,futureID,surfaceID,sourceTranche,stateType,modality,timeScope,carrierCount,partitionCount,injective,recovers,eligible,decisionEligible,authorityReason,partitionHash,duplicateOf,controlSidecar,N,T,fateObjectCount,D0,statePartitionCount,C,D,identityResolutionNumerator,identityResolutionDenominator,identityResolution,futureDiscordanceResolutionNumerator,futureDiscordanceResolutionDenominator,futureDiscordanceResolution,fateSelectiveSurplusNumerator,fateSelectiveSurplusDenominator,fateSelectiveSurplus,conditionalFutureAmbiguityNumerator,conditionalFutureAmbiguityDenominator,conditionalFutureAmbiguity,fateDiscordanceBaselineNumerator,fateDiscordanceBaselineDenominator,fateDiscordanceBaseline,conditionalAmbiguityRatioNumerator,conditionalAmbiguityRatioDenominator,conditionalAmbiguityRatio,exactRecovery,noninjectiveExactRecovery,sharedCompressionCoverageNumerator,sharedCompressionCoverageDenominator,sharedCompressionCoverage,fiberSpectrum
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:identity_cellID,IBIP-11,precursorSnapshot,RNA,pretreatment,162,162,True,True,True,False,exactFrozenMaps,262f2366677bf7221451c88ab907049609ea6d57e788c5ae8388ccc44d209ec2,,IBIP11_source_marker_permutation,162,13041,2,6545,162,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,935,1863,0.501878690284,,,undefinedInjective,True,False,0,1,0,1:162
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:identity_lineageBarcodeSet,IBIP-12,snapshot,RNA,day0,1183,1183,True,True,True,False,exactFrozenMaps,8f11ee1ed8820c2ce5a46cf39c40d69314858b9165b1fc9a3869f1d420f0d562,,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0_3:P2_eightProjectionState,IBIP-12,history,RNA,H0_3,1183,1183,True,True,True,True,exactFrozenMaps,5cdfb531db008849b27c51777e857f659331ca011a88f1793bf494e509403053,,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0_3:P4_twelveProjectionState,IBIP-12,history,RNA,H0_3,1183,1183,True,True,True,True,exactFrozenMaps,684c0f96c2e46ddfe795171b44a6b14ca193c05fffe2e97bcd14ff4f2a79af7d,,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0_3:P5_twelveProjectionDistribution,IBIP-12,history,RNA,H0_3,1183,1183,True,True,True,True,exactFrozenMaps,f0149f1cb5a9335995360c632dbf551a1db3dad5cb62ad19bd12e452d720887f,,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0_3:identity_lineageBarcodeSet,IBIP-12,history,RNA,H0_3,1183,1183,True,True,True,False,exactFrozenMaps,38fda31367bc0d20c6697d6da4e29656493bfd3fd6b826ef47ef3bbe6eb3f4ad,,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F003:Watermelon_PC9_osimertinib:Watermelon:pooled:H037:pooled_distributional_fate,H037,pooled_distributional_fate,IBIP12:H037:D0:identity_lineageBarcodeSet,IBIP-12,snapshot,RNA,day0,748,748,True,True,True,False,exactFrozenMaps,0dcfcbcdb60604d4a76368dcd7a4dc910074bb35454fd1cfc229b780c23e5f39,,IBIP12_random_gene_history,748,279378,163,231975,748,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,25775,31042,0.83032665421,,,undefinedInjective,True,False,0,1,0,1:748
Watermelon_PC9_osimertinib,Watermelon,pooled,F003:Watermelon_PC9_osimertinib:Watermelon:pooled:H037:pooled_distributional_fate,H037,pooled_distributional_fate,IBIP12:H037:H0_3:P2_eightProjectionState,IBIP-12,history,RNA,H0_3,748,748,True,True,True,True,exactFrozenMaps,dcade53e2446c75d5656bde698e06439410e34ef2f90b884783f0f32c48e7436,,IBIP12_random_gene_history,748,279378,163,231975,748,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,25775,31042,0.83032665421,,,undefinedInjective,True,False,0,1,0,1:748
Watermelon_PC9_osimertinib,Watermelon,pooled,F003:Watermelon_PC9_osimertinib:Watermelon:pooled:H037:pooled_distributional_fate,H037,pooled_distributional_fate,IBIP12:H037:H0_3:P4_twelveProjectionState,IBIP-12,history,RNA,H0_3,748,748,True,True,True,True,exactFrozenMaps,623ffa23bd548ed16c46d4daf8ecd43bac8bfaf9d9ebc912be008740f68b70c7,,IBIP12_random_gene_history,748,279378,163,231975,748,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,25775,31042,0.83032665421,,,undefinedInjective,True,False,0,1,0,1:748
Watermelon_PC9_osimertinib,Watermelon,pooled,F003:Watermelon_PC9_osimertinib:Watermelon:pooled:H037:pooled_distributional_fate,H037,pooled_distributional_fate,IBIP12:H037:H0_3:P5_twelveProjectionDistribution,IBIP-12,history,RNA,H0_3,748,748,True,True,True,True,exactFrozenMaps,4cd0af0abb65d0dc6974d42e0a72357db7fad06b71fd84cb622f9b08228e5d00,,IBIP12_random_gene_history,748,279378,163,231975,748,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,25775,31042,0.83032665421,,,undefinedInjective,True,False,0,1,0,1:748
