system,dataset,replicate,familyID,carrierID,futureID,surfaceID,sourceTranche,stateType,modality,timeScope,carrierCount,partitionCount,injective,recovers,eligible,decisionEligible,authorityReason,partitionHash,duplicateOf,controlSidecar,N,T,fateObjectCount,D0,statePartitionCount,C,D,identityResolutionNumerator,identityResolutionDenominator,identityResolution,futureDiscordanceResolutionNumerator,futureDiscordanceResolutionDenominator,futureDiscordanceResolution,fateSelectiveSurplusNumerator,fateSelectiveSurplusDenominator,fateSelectiveSurplus,conditionalFutureAmbiguityNumerator,conditionalFutureAmbiguityDenominator,conditionalFutureAmbiguity,fateDiscordanceBaselineNumerator,fateDiscordanceBaselineDenominator,fateDiscordanceBaseline,conditionalAmbiguityRatioNumerator,conditionalAmbiguityRatioDenominator,conditionalAmbiguityRatio,exactRecovery,noninjectiveExactRecovery,sharedCompressionCoverageNumerator,sharedCompressionCoverageDenominator,sharedCompressionCoverage,fiberSpectrum
Watermelon_PC9_osimertinib,Watermelon,pooled,F003:Watermelon_PC9_osimertinib:Watermelon:pooled:H037:pooled_distributional_fate,H037,pooled_distributional_fate,IBIP12:H037:D0:P5_twelveProjectionDistribution,IBIP-12,snapshot,RNA,day0,748,747,False,True,True,True,exactFrozenMaps,1fd9019b04a06b7c51a5594f316e10bb136d9f531202316269647bb644db1195,,IBIP12_random_gene_history,748,279378,163,231975,747,1,0,279377,279378,0.99999642062,1,1,1,1,279378,3.57937990822e-06,0,1,0,25775,31042,0.83032665421,0,1,0,True,True,1,374,0.00267379679144,1:746;2:1
CellTag_LSK_hematopoiesis,CellTag_LSK,multimodal,F028:CellTag_LSK_hematopoiesis:CellTag_LSK:multimodal:IBIP19_majorityPooled:majorityPooled,IBIP19_majorityPooled,majorityPooled,IBIP19:majorityPooled:JOINT:J2,IBIP-19,multimodalSnapshot,RNAxATAC,day2.5,201,199,False,True,True,True,exactFrozenMaps,07e389ffa721f0f03906ccecdca0a035942bcfbd0beb0b05f1c7be1f0a714636,,IBIP19_sham_and_fiber,201,20100,7,12449,199,2,0,10049,10050,0.999900497512,1,1,1,1,10050,9.95024875622e-05,0,1,0,12449,20100,0.619353233831,0,1,0,True,True,4,201,0.0199004975124,1:197;2:2
CellTag_LSK_hematopoiesis,CellTag_LSK,multimodal,F028:CellTag_LSK_hematopoiesis:CellTag_LSK:multimodal:IBIP19_majorityPooled:majorityPooled,IBIP19_majorityPooled,majorityPooled,IBIP19:majorityPooled:JOINT:J4,IBIP-19,multimodalSnapshot,RNAxATAC,day2.5,201,200,False,True,True,True,exactFrozenMaps,3a598a88a45cbc98057a1330f4807a175f1db80ee4ea91e5825238164f6c23b6,,IBIP19_sham_and_fiber,201,20100,7,12449,200,1,0,20099,20100,0.999950248756,1,1,1,1,20100,4.97512437811e-05,0,1,0,12449,20100,0.619353233831,0,1,0,True,True,2,201,0.00995024875622,1:199;2:1
CellTag_LSK_hematopoiesis,CellTag_LSK,pairedArms,F030:CellTag_LSK_hematopoiesis:CellTag_LSK:pairedArms:IBIP19_armInvariant:armInvariantFate,IBIP19_armInvariant,armInvariantFate,IBIP19:armInvariant:ATAC:A2,IBIP-19,multimodalSnapshot,ATAC,day2.5,89,86,False,True,True,True,exactFrozenMaps,abc30cda9249e6930328599c7e122f67941af96068ff9a1c4694b120ccd5d46c,,IBIP19_arm_controls,89,3916,22,1704,86,3,0,3913,3916,0.999233912155,1,1,1,3,3916,0.00076608784474,0,1,0,426,979,0.435137895812,0,1,0,True,True,6,89,0.0674157303371,1:83;2:3
CellTag_iEP_reprogramming,CellTag_iEP,r1,F037:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:majorityDay21Fate,r1_ATAC_3_12_21,majorityDay21Fate,IBIP20:r1:ATAC:2:transitionSignature,IBIP-20,transitionSignature,ATAC,D3-D12,27,26,False,True,True,True,exactFrozenMaps,b21d6801f0f5025e3b43fac66ea4ca7f3b420facda4177cf9bb056239a1043cc,,IBIP20_temporal_random_fiber_controls,27,351,3,230,26,1,0,350,351,0.997150997151,1,1,1,1,351,0.002849002849,0,1,0,230,351,0.655270655271,0,1,0,True,True,2,27,0.0740740740741,1:25;2:1
CellTag_iEP_reprogramming,CellTag_iEP,r1,F037:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:majorityDay21Fate,r1_ATAC_3_12_21,majorityDay21Fate,IBIP20:r1:ATAC:4:transitionSignature,IBIP-20,transitionSignature,ATAC,D3-D12,27,26,False,True,True,True,exactFrozenMaps,db05de4a303cccf673ac027daa685e8d82d4bba742ef7e96ecd5a3085007254f,,IBIP20_temporal_random_fiber_controls,27,351,3,230,26,1,0,350,351,0.997150997151,1,1,1,1,351,0.002849002849,0,1,0,230,351,0.655270655271,0,1,0,True,True,2,27,0.0740740740741,1:25;2:1
CellTag_iEP_reprogramming,CellTag_iEP,r1,F037:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:majorityDay21Fate,r1_ATAC_3_12_21,majorityDay21Fate,IBIP20:r1:ATAC:5:snapshotDay3,IBIP-20,snapshotDay3,ATAC,D3-D12,27,26,False,True,True,True,exactFrozenMaps,c6038208cce6da55635e3b1291c4a68f51a3f0d4138eb755f6204ebdd1e96e14,,IBIP20_temporal_random_fiber_controls,27,351,3,230,26,1,0,350,351,0.997150997151,1,1,1,1,351,0.002849002849,0,1,0,230,351,0.655270655271,0,1,0,True,True,2,27,0.0740740740741,1:25;2:1
CellTag_iEP_reprogramming,CellTag_iEP,r1,F038:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:fateBreadth,r1_ATAC_3_12_21,fateBreadth,IBIP20:r1:ATAC:1:orderedHistory,IBIP-20,orderedHistory,ATAC,D3-D12,27,25,False,True,True,True,exactFrozenMaps,ce96d1f53acfe2c1271f1026e10f0955be78d932c088cc99de3d7e1ee6c555e5,,IBIP20_temporal_random_fiber_controls,27,351,3,230,25,2,0,349,351,0.994301994302,1,1,1,2,351,0.00569800569801,0,1,0,230,351,0.655270655271,0,1,0,True,True,4,27,0.148148148148,1:23;2:2
CellTag_iEP_reprogramming,CellTag_iEP,r1,F038:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:fateBreadth,r1_ATAC_3_12_21,fateBreadth,IBIP20:r1:ATAC:1:reversedHistory,IBIP-20,reversedHistory,ATAC,D3-D12,27,25,False,True,True,True,exactFrozenMaps,b875c94b34f8f3be74dcbe15052854f9e07519ee0c32e85b4603b2ead3a924fb,,IBIP20_temporal_random_fiber_controls,27,351,3,230,25,2,0,349,351,0.994301994302,1,1,1,2,351,0.00569800569801,0,1,0,230,351,0.655270655271,0,1,0,True,True,4,27,0.148148148148,1:23;2:2
CellTag_iEP_reprogramming,CellTag_iEP,r1,F038:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:fateBreadth,r1_ATAC_3_12_21,fateBreadth,IBIP20:r1:ATAC:2:transitionSignature,IBIP-20,transitionSignature,ATAC,D3-D12,27,26,False,True,True,True,exactFrozenMaps,b21d6801f0f5025e3b43fac66ea4ca7f3b420facda4177cf9bb056239a1043cc,,IBIP20_temporal_random_fiber_controls,27,351,3,230,26,1,0,350,351,0.997150997151,1,1,1,1,351,0.002849002849,0,1,0,230,351,0.655270655271,0,1,0,True,True,2,27,0.0740740740741,1:25;2:1
CellTag_iEP_reprogramming,CellTag_iEP,r1,F038:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:fateBreadth,r1_ATAC_3_12_21,fateBreadth,IBIP20:r1:ATAC:4:transitionSignature,IBIP-20,transitionSignature,ATAC,D3-D12,27,26,False,True,True,True,exactFrozenMaps,db05de4a303cccf673ac027daa685e8d82d4bba742ef7e96ecd5a3085007254f,,IBIP20_temporal_random_fiber_controls,27,351,3,230,26,1,0,350,351,0.997150997151,1,1,1,1,351,0.002849002849,0,1,0,230,351,0.655270655271,0,1,0,True,True,2,27,0.0740740740741,1:25;2:1
CellTag_iEP_reprogramming,CellTag_iEP,r1,F041:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_MULTI_3_12_21:majorityDay21Fate,r1_MULTI_3_12_21,majorityDay21Fate,IBIP20:r1:MULTI:1:transitionSignature,IBIP-20,transitionSignature,MULTI,D3-D12,17,16,False,True,True,True,exactFrozenMaps,a2360a24ac625eb542cd869a26ab7cf95faf69c32bb180b28d6badb18509ae07,,IBIP20_temporal_random_fiber_controls,17,136,3,82,16,1,0,135,136,0.992647058824,1,1,1,1,136,0.00735294117647,0,1,0,41,68,0.602941176471,0,1,0,True,True,2,17,0.117647058824,1:15;2:1
CellTag_iEP_reprogramming,CellTag_iEP,r2,F047:CellTag_iEP_reprogramming:CellTag_iEP:r2:r2_ATAC_3_12_21:fineDay21Fate,r2_ATAC_3_12_21,fineDay21Fate,IBIP20:r2:ATAC:2:day12State,IBIP-20,day12State,ATAC,D3-D12,35,34,False,True,True,True,exactFrozenMaps,d5fb447c6f438e16628b60012689529b3173ed8880a83a8bc444875005c0853e,,IBIP20_temporal_random_fiber_controls,35,595,12,463,34,1,0,594,595,0.998319327731,1,1,1,1,595,0.00168067226891,0,1,0,463,595,0.778151260504,0,1,0,True,True,2,35,0.0571428571429,1:33;2:1
