familyID,system,dataset,replicate,carrierID,futureID,carrierCount,surfaceCount,canonicalSurfaceCount,registeredStateNonrecovery,sharedExactStateExists,fingerprintExactnessExists,registeredExactnessIdentityThresholdNumerator,registeredExactnessIdentityThresholdDenominator,registeredExactnessIdentityThreshold,exactnessMinimizers,sharedPairCountAtFirstExactness,exactnessCompressionMarginNumerator,exactnessCompressionMarginDenominator,exactnessCompressionMargin,familyMaximumSurplusNumerator,familyMaximumSurplusDenominator,familyMaximumSurplus,surplusPeakSurfaces,familyMinimumAmbiguityRatioNumerator,familyMinimumAmbiguityRatioDenominator,familyMinimumAmbiguityRatio
F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,Watermelon_PC9_osimertinib,Rewind,published,rewind_positive_cells,positive_resistant_fate,162,15,14,True,False,False,,,undefinedInjective,,,,,undefinedInjective,8552,150535,0.0568107084731,IBIP11:P1_AXL,108054,217855,0.495990452365
F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,Watermelon_PC9_osimertinib,Watermelon,pooled,H03,pooled_distributional_fate,1183,28,18,False,False,True,1,1,1,IBIP12:H03:H0_3:P2_eightProjectionState;IBIP12:H03:H0_3:P4_twelveProjectionState;IBIP12:H03:H0_3:P5_twelveProjectionDistribution,0,0,1,0,62333,29383894722,2.12133213074e-06,IBIP12:H03:D0:P4_twelveProjectionState,699153,1092724,0.639825793155
F003:Watermelon_PC9_osimertinib:Watermelon:pooled:H037:pooled_distributional_fate,Watermelon_PC9_osimertinib,Watermelon,pooled,H037,pooled_distributional_fate,748,42,29,False,True,True,279377,279378,0.99999642062,IBIP12:H037:D0:P5_twelveProjectionDistribution,1,1,279378,3.57937990822e-06,56257,7200967950,7.81242193975e-06,IBIP12:H037:D0:P4_twelveProjectionState,0,1,0
F004:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_replicate:replicate_invariant_fate,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_replicate,replicate_invariant_fate,737,3,3,False,False,True,1,1,1,IBIP14:H03:P2_eightProjectionState;IBIP14:H03:P4_twelveProjectionState;IBIP14:H03:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F005:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H037_replicate:replicate_invariant_fate,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H037_replicate,replicate_invariant_fate,540,3,3,False,False,True,1,1,1,IBIP14:H037:P2_eightProjectionState;IBIP14:H037:P4_twelveProjectionState;IBIP14:H037:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F006:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_stable_k1:persistent_component_k1,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_stable_k1,persistent_component_k1,737,3,3,False,False,True,1,1,1,IBIP15:H03:k1:P2_eightProjectionState;IBIP15:H03:k1:P4_twelveProjectionState;IBIP15:H03:k1:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F007:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_stable_k15:persistent_component_k15,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_stable_k15,persistent_component_k15,468,3,3,False,False,True,1,1,1,IBIP15:H03:k15:P2_eightProjectionState;IBIP15:H03:k15:P4_twelveProjectionState;IBIP15:H03:k15:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F008:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_stable_k17:persistent_component_k17,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_stable_k17,persistent_component_k17,458,3,3,False,False,True,1,1,1,IBIP15:H03:k17:P2_eightProjectionState;IBIP15:H03:k17:P4_twelveProjectionState;IBIP15:H03:k17:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F009:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_stable_k36:persistent_component_k36,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_stable_k36,persistent_component_k36,428,3,3,False,False,True,1,1,1,IBIP15:H03:k36:P2_eightProjectionState;IBIP15:H03:k36:P4_twelveProjectionState;IBIP15:H03:k36:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F010:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_stable_k38:persistent_component_k38,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_stable_k38,persistent_component_k38,404,3,3,False,False,True,1,1,1,IBIP15:H03:k38:P2_eightProjectionState;IBIP15:H03:k38:P4_twelveProjectionState;IBIP15:H03:k38:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F011:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_stable_k62:persistent_component_k62,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_stable_k62,persistent_component_k62,363,3,3,False,False,True,1,1,1,IBIP15:H03:k62:P2_eightProjectionState;IBIP15:H03:k62:P4_twelveProjectionState;IBIP15:H03:k62:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F012:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H03_stable_k111:persistent_component_k111,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H03_stable_k111,persistent_component_k111,322,3,3,False,False,True,1,1,1,IBIP15:H03:k111:P2_eightProjectionState;IBIP15:H03:k111:P4_twelveProjectionState;IBIP15:H03:k111:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F013:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H037_stable_k1:persistent_component_k1,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H037_stable_k1,persistent_component_k1,540,3,3,False,False,True,1,1,1,IBIP15:H037:k1:P2_eightProjectionState;IBIP15:H037:k1:P4_twelveProjectionState;IBIP15:H037:k1:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F014:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H037_stable_k15:persistent_component_k15,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H037_stable_k15,persistent_component_k15,314,3,3,False,False,True,1,1,1,IBIP15:H037:k15:P2_eightProjectionState;IBIP15:H037:k15:P4_twelveProjectionState;IBIP15:H037:k15:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F015:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H037_stable_k17:persistent_component_k17,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H037_stable_k17,persistent_component_k17,307,3,3,False,False,True,1,1,1,IBIP15:H037:k17:P2_eightProjectionState;IBIP15:H037:k17:P4_twelveProjectionState;IBIP15:H037:k17:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F016:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H037_stable_k36:persistent_component_k36,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H037_stable_k36,persistent_component_k36,290,3,3,False,False,True,1,1,1,IBIP15:H037:k36:P2_eightProjectionState;IBIP15:H037:k36:P4_twelveProjectionState;IBIP15:H037:k36:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F017:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H037_stable_k38:persistent_component_k38,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H037_stable_k38,persistent_component_k38,270,3,3,False,False,True,1,1,1,IBIP15:H037:k38:P2_eightProjectionState;IBIP15:H037:k38:P4_twelveProjectionState;IBIP15:H037:k38:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
F018:Watermelon_PC9_osimertinib:Watermelon:pairedReplicate:H037_stable_k62:persistent_component_k62,Watermelon_PC9_osimertinib,Watermelon,pairedReplicate,H037_stable_k62,persistent_component_k62,240,3,3,False,False,True,1,1,1,IBIP15:H037:k62:P2_eightProjectionState;IBIP15:H037:k62:P4_twelveProjectionState;IBIP15:H037:k62:P5_twelveProjectionDistribution,0,0,1,0,0,1,0,,,,undefinedInjective
