condition,replicate,package,decision_eligible,fiber_count,fate_pure_fiber_count,fate_mixed_fiber_count,maximum_terminal_fate_cardinality,majority_residual,resolved_cell_count,unresolved_cell_count,exact_recovery
carboplatin,1,P0_conditionOnly,True,1,0,1,2,353,0,4519,False
carboplatin,1,P1_sourceNativePrestateLabel,False,2,2,0,1,0,4519,0,True
carboplatin,1,P2_sourceHighlightedPrograms,False,2,1,1,2,353,19,4500,False
carboplatin,1,P3_programCombination,False,16,0,16,2,353,0,4519,False
carboplatin,1,P4_fateBlindExpressionPartition,True,16,0,16,2,353,0,4519,False
carboplatin,1,P5b_correctedBiologicalState,True,330,172,158,2,350,1211,3308,False
carboplatin,1,P5_richerPreTreatmentState,False,284,127,157,2,352,1139,3380,False
carboplatin,1,P6_identityLikeControl,False,4519,4519,0,1,0,4519,0,True
carboplatin,1,randomSignatureControl,False,8,0,8,2,353,0,4519,False
carboplatin,2,P0_conditionOnly,True,1,0,1,2,382,0,4423,False
carboplatin,2,P1_sourceNativePrestateLabel,False,2,2,0,1,0,4423,0,True
carboplatin,2,P2_sourceHighlightedPrograms,False,4,3,1,2,382,20,4403,False
carboplatin,2,P3_programCombination,False,16,0,16,2,382,0,4423,False
carboplatin,2,P4_fateBlindExpressionPartition,True,16,0,16,2,382,0,4423,False
carboplatin,2,P5b_correctedBiologicalState,True,328,165,163,2,378,1176,3247,False
carboplatin,2,P5_richerPreTreatmentState,False,279,106,173,2,381,1032,3391,False
carboplatin,2,P6_identityLikeControl,False,4423,4423,0,1,0,4423,0,True
carboplatin,2,randomSignatureControl,False,16,0,16,2,382,0,4423,False
control,1,P0_conditionOnly,True,1,0,1,2,360,0,2454,False
control,1,P1_sourceNativePrestateLabel,False,2,2,0,1,0,2454,0,True
control,1,P2_sourceHighlightedPrograms,False,4,2,2,2,360,18,2436,False
control,1,P3_programCombination,False,16,0,16,2,360,0,2454,False
control,1,P4_fateBlindExpressionPartition,True,16,0,16,2,360,0,2454,False
control,1,P5b_correctedBiologicalState,True,301,142,159,2,346,480,1974,False
control,1,P5_richerPreTreatmentState,False,253,102,151,2,345,450,2004,False
control,1,P6_identityLikeControl,False,2454,2454,0,1,0,2454,0,True
