package,permutation_count,observed_majority_residual,null_min,null_mean,null_max,empirical_lower_tail_p
P0_primedConstant,1000,77,77,77.0,77,1.0
P1_AXL,1000,53,61,74.956,77,0.000999000999000999
P1_EGFR,1000,73,57,75.022,77,0.27472527472527475
P1_NGFR,1000,74,66,75.116,77,0.3306693306693307
P1_WNT5A,1000,76,63,75.109,77,0.7272727272727273
P1_MMP1,1000,60,62,74.997,77,0.000999000999000999
P1_ITGA3,1000,52,58,73.88,77,0.000999000999000999
P1_FN1,1000,73,60,73.929,77,0.33666333666333664
P1_SOX10,1000,66,62,73.925,77,0.030969030969030968
P1_MITF,1000,72,58,74.306,77,0.23276723276723277
P2_nineGeneFateBlindVector,1000,18,21,31.7,41,0.000999000999000999
P3_fateBlindBurden,1000,55,48,61.05,71,0.06993006993006994
P5_richPrecursorQuotient,1000,52,43,58.54,67,0.04195804195804196
