carrier,candidate,family,package,description,decisionEligible,retrospectiveOutcomeOptimized,terminalLeakage,lineageIdentityLeakage,immediateCoarsening,carrierCount,quotientCardinality,compressionRatio,normalizedCompression,singletonFiberCount,nonSingletonFiberCount,lineagesInSingletonFibers,lineagesInNonSingletonFibers,sharedCompressionCoverage,maximumFiberSize,meanNonSingletonFiberSize,medianNonSingletonFiberSize,fateObjectsRepresentedByMultipleLineages,mixedFiberCount,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,exactRecovery,nontrivialCompression,sharedCompression,fiberSpectrum
H03,constant,coarse_temporal_algebra,P2_eightProjectionState,constant quotient,True,False,False,False,,1183,1,1183.0,0.9991546914623838,0,1,0,1183,1.0,1183,1183,1183,0,1,1183,182,658,546362,False,True,True,1183:1
H03,P4_twelveProjectionState.algebra.equalityHamming,coarse_temporal_algebra,P4_twelveProjectionState,ordered equality and Hamming distances,True,False,False,False,,1183,11,107.54545454545455,0.9907016060862215,1,10,1,1182,0.9991546914623838,271,118.2,103.5,0,10,1182,69,657,88781,False,True,True,1:1;5:1;16:1;25:1;50:1;94:1;113:1;163:1;175:1;270:1;271:1
H03,P5_twelveProjectionDistribution.retain.7,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 7,True,False,False,False,,1183,15,78.86666666666666,0.9873203719357565,0,15,0,1183,1.0,330,78.86666666666666,49,0,15,1183,66,655,80718,False,True,True,3:2;6:1;7:1;9:1;11:1;37:1;49:2;80:1;93:1;143:1;149:1;214:1;330:1
H03,P2_eightProjectionState.route.motifHistogram,route_motif,P2_eightProjectionState,route motif histogram,True,False,False,False,,1183,40,29.575,0.9661876584953508,3,37,3,1180,0.9974640743871513,105,31.89189189189189,21,1,36,1178,37,654,26072,False,True,True,1:3;2:1;3:1;5:2;7:5;9:1;12:1;13:2;14:1;15:1;17:1;19:1;21:2;23:1;25:1;26:2;29:1;36:1;43:1;46:1;47:1;53:2;57:1;69:1;73:1;80:1;92:1;93:1;105:1
H03,P5_twelveProjectionDistribution.prefix.reverse.1,coordinate_deletion,P5_twelveProjectionDistribution,"retain (11,)",True,False,False,False,constant,1183,55,21.509090909090908,0.9535080304311073,5,50,5,1178,0.9957734573119188,104,23.56,12.5,1,48,1174,41,652,20911,False,True,True,1:5;2:3;3:4;4:3;5:1;6:2;7:1;8:1;9:4;10:3;11:2;12:1;13:1;21:2;22:1;23:1;24:3;25:1;26:1;27:1;28:1;29:1;30:1;34:1;38:1;45:1;50:1;55:1;57:1;66:1;70:1;78:1;82:1;104:1
H03,P5_twelveProjectionDistribution.retain.8,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 8,True,False,False,False,,1183,67,17.65671641791045,0.9433643279797126,12,55,12,1171,0.9898562975486053,95,21.29090909090909,14,1,54,1169,43,647,19572,False,True,True,1:12;2:1;3:5;4:6;5:1;6:2;7:4;8:3;9:3;12:1;13:1;14:3;15:2;16:1;17:3;19:1;20:1;21:1;26:2;30:1;32:2;35:1;44:1;47:1;51:1;57:1;62:1;65:1;67:1;68:1;73:1;95:1
H03,P5_twelveProjectionDistribution.retain.10,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 10,True,False,False,False,,1183,73,16.205479452054796,0.9382924767540152,5,68,5,1178,0.9957734573119188,66,17.323529411764707,13.0,1,66,1174,39,646,12638,False,True,True,1:5;2:3;4:8;5:4;6:5;7:3;8:1;9:3;10:2;11:3;12:1;13:2;14:2;16:2;17:1;19:1;20:2;21:2;22:1;23:1;24:5;25:2;27:1;28:2;30:1;32:1;34:2;35:1;40:2;44:1;54:1;58:1;66:1
H03,P5_twelveProjectionDistribution.retain.6,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 6,True,False,False,False,,1183,75,15.773333333333333,0.9366018596787827,6,69,6,1177,0.9949281487743026,72,17.057971014492754,14,0,69,1177,41,643,12341,False,True,True,1:6;2:1;3:3;4:3;5:7;6:2;7:1;8:7;9:3;10:1;11:2;12:1;13:2;14:3;15:1;16:1;17:6;18:2;19:1;20:1;21:2;22:1;23:1;24:2;25:1;26:2;27:1;28:2;29:1;32:1;35:1;39:1;40:1;50:1;51:1;54:1;72:1
H03,P5_twelveProjectionDistribution.heterogeneity.multiCount,heterogeneity_summary,P5_twelveProjectionDistribution,multi-occupied coordinate count per time,True,False,False,False,,1183,92,12.858695652173912,0.9222316145393068,20,72,20,1163,0.9830938292476754,177,16.15277777777778,6.5,1,69,1153,51,631,25480,False,True,True,1:20;2:11;3:7;4:5;5:7;6:6;7:3;8:5;9:3;10:3;11:1;12:1;14:1;15:1;16:1;17:1;21:1;24:3;25:1;27:1;31:2;37:1;38:1;48:1;66:1;76:1;85:1;92:1;177:1
H03,P2_eightProjectionState.transition.equality,transition_signature,P2_eightProjectionState,coordinatewise equality transitions,True,False,False,False,,1183,235,5.034042553191489,0.8013524936601859,37,198,37,1146,0.9687235841081995,28,5.787878787878788,5.0,1,187,1118,13,605,3415,False,True,True,1:37;2:33;3:32;4:29;5:23;6:27;7:12;8:9;9:6;10:5;11:7;12:2;13:4;14:1;16:1;17:1;18:2;21:1;22:1;24:1;28:1
H03,P5_twelveProjectionDistribution.heterogeneity.total,heterogeneity_summary,P5_twelveProjectionDistribution,total occupancy per time,True,False,False,False,,1183,273,4.333333333333333,0.7692307692307692,100,173,100,1083,0.915469146238377,177,6.2601156069364166,3,2,152,1039,21,540,13056,False,True,True,1:100;2:70;3:28;4:25;5:8;6:7;7:5;8:3;9:3;10:1;11:3;12:1;13:4;14:1;16:1;18:2;20:2;23:1;24:3;25:1;26:2;29:1;177:1
