supportLevel,edgeCount,classCount,largestClass,singletonClassCount,nonSingletonClassCount,fateResolution,rawFatePairDiscrimination,stableLineageCount,stableLineageFraction,partitionChanged
1,254,31,128,0,31,0.1631578947368421,0.5454191033138401,1550,1.0,True
2,53,156,35,155,1,0.8210526315789474,0.9668615984405458,1392,0.8980645161290323,True
3,37,164,27,163,1,0.8631578947368421,0.9804511278195489,1369,0.8832258064516129,True
4,24,170,21,169,1,0.8947368421052632,0.9883040935672515,1335,0.8612903225806452,True
5,20,173,18,172,1,0.9105263157894737,0.9914786967418546,1315,0.8483870967741935,True
6,19,174,17,173,1,0.9157894736842105,0.9924255082149819,1306,0.8425806451612903,True
7,17,175,16,174,1,0.9210526315789473,0.9933166248955723,1299,0.8380645161290322,True
8,15,177,14,176,1,0.9315789473684211,0.9949317738791423,1279,0.8251612903225807,True
9,12,180,11,179,1,0.9473684210526315,0.9969367864104706,1245,0.8032258064516129,True
12,11,181,10,180,1,0.9526315789473684,0.9974937343358395,1233,0.795483870967742,True
13,10,182,9,181,1,0.9578947368421052,0.9979949874686717,1217,0.7851612903225806,True
14,8,183,8,182,1,0.9631578947368421,0.9984405458089669,1197,0.772258064516129,True
15,6,185,6,184,1,0.9736842105263158,0.9991645781119465,1159,0.747741935483871,True
17,5,186,5,185,1,0.9789473684210527,0.999443052074631,1133,0.7309677419354839,True
36,3,187,4,186,1,0.9842105263157894,0.9996658312447786,1061,0.6845161290322581,True
38,2,188,3,187,1,0.9894736842105263,0.9998329156223893,1021,0.6587096774193548,True
62,1,189,2,188,1,0.9947368421052631,0.9999443052074631,947,0.6109677419354839,True
111,0,190,1,190,0,1.0,1.0,837,0.54,True
