lane,supportLevel,componentCount,nonSingletonComponentCount,pairWeightedWithin,pairWeightedBetween,pairWeightedDelta,componentWeightedWithin,componentWeightedBetween,componentWeightedWithinMinusBetween,fateWeightedWithin,fateWeightedBetween,commonInhabitantNonSingletonComponentCount,commonInhabitantLineageCoverage,commonInhabitantCellCoverage,molecularDispersion
absoluteTerminalMolecular,1,31,31,0.00033518332321334803,0.0003517569265710299,-1.6573603357681883e-05,0.0002688903602206127,0.00042280508353242626,-0.00015391472331181355,0.00031029973344942787,0.0003439408199100032,1,0.0006451612903225806,0.00018889308651303362,0.9996648166767866
absoluteTerminalMolecular,2,156,1,0.0012074436248397816,0.0003146366883178441,0.0008928069365219375,0.0012074436248397816,0.0002707451673848357,0.0009366984574549458,0.0012074436248397818,0.0003179734706109968,0,0.0,0.0,0.9987925563751602
absoluteTerminalMolecular,3,164,1,0.0012717889190927963,0.00032572846826720475,0.0009460604508255916,0.0012717889190927963,0.0002747709453295634,0.0009970179737632328,0.001271788919092796,0.0003288702102829089,0,0.0,0.0,0.9987282110809073
absoluteTerminalMolecular,4,170,1,0.0015929752880690733,0.0003294447481252713,0.001263530539943802,0.0015929752880690733,0.0002989783724274096,0.0012939969156416638,0.0015929752880690724,0.0003309591586131766,0,0.0,0.0,0.9984070247119309
absoluteTerminalMolecular,5,173,1,0.001642573052480745,0.00033306416070935223,0.0013095088917713929,0.001642573052480745,0.0003016755530526398,0.0013408974994281052,0.0016425730524807448,0.000334425120389706,0,0.0,0.0,0.9983574269475193
absoluteTerminalMolecular,6,174,1,0.0017341033425100267,0.0003336148948535877,0.001400488447656439,0.0017341033425100267,0.00030139477023414266,0.001432708572275884,0.001734103342510027,0.0003349419225425924,0,0.0,0.0,0.99826589665749
absoluteTerminalMolecular,7,175,1,0.0016189475351663274,0.0003356460982202121,0.0012833014369461153,0.0016189475351663274,0.0002999483359667371,0.0013189991991995904,0.0016189475351663274,0.0003370378238441293,0,0.0,0.0,0.9983810524648337
absoluteTerminalMolecular,8,177,1,0.0017836175694280643,0.0003368905433922688,0.0014467270260357956,0.0017836175694280643,0.00030168067630025394,0.0014819368931278103,0.0017836175694280647,0.000338105386759771,0,0.0,0.0,0.998216382430572
absoluteTerminalMolecular,9,180,1,0.002360240310639194,0.00033802841613923395,0.00202221189449996,0.002360240310639194,0.00030724959242292213,0.002052990718216272,0.002360240310639194,0.00033887695513893176,0,0.0,0.0,0.9976397596893608
absoluteTerminalMolecular,12,181,1,0.0026987386784619997,0.00033830701426279465,0.002360431664199205,0.0026987386784619997,0.0003101597494297156,0.002388578929032284,0.002698738678462,0.0003390163786368949,0,0.0,0.0,0.997301261321538
absoluteTerminalMolecular,13,182,1,0.003194248785418774,0.0003384970651097922,0.002855751720308982,0.003194248785418774,0.000309295130423501,0.0028849536549952733,0.0031942487854187745,0.0003391630741464971,0,0.0,0.0,0.9968057512145813
absoluteTerminalMolecular,14,183,1,0.004035940380095144,0.00033845682687202425,0.0036974835532231193,0.004035940380095144,0.0003130960773334515,0.0037228443027616923,0.004035940380095144,0.0003389737878484163,0,0.0,0.0,0.9959640596199049
absoluteTerminalMolecular,15,185,1,0.004881527566752095,0.00034042915008228325,0.004541098416669812,0.004881527566752095,0.0003251255925858445,0.00455640197416625,0.004881527566752094,0.0003406656712298891,0,0.0,0.0,0.9951184724332479
absoluteTerminalMolecular,17,186,1,0.005710758373895088,0.0003412323367087485,0.005369526037186339,0.005710758373895088,0.00032793166226604404,0.005382826711629044,0.0057107583738950874,0.00034140456766435586,0,0.0,0.0,0.9942892416261049
absoluteTerminalMolecular,36,187,1,0.006022010090318104,0.0003423249097685405,0.0056796851805495634,0.006022010090318104,0.0003353285311285279,0.0056866815591895764,0.006022010090318104,0.00034239777653577436,0,0.0,0.0,0.9939779899096819
absoluteTerminalMolecular,38,188,1,0.009421014781895514,0.0003427060395293981,0.009078308742366115,0.009421014781895514,0.00033775619742478126,0.009083258584470733,0.009421014781895514,0.00034274491046990224,1,0.001279863481228669,0.0005799342741156003,0.9905789852181045
absoluteTerminalMolecular,62,189,1,0.021397357242442877,0.00034305026783641523,0.021054306974606463,0.021397357242442877,0.0003401643255663738,0.021057192916876504,0.021397357242442877,0.00034306545700625763,1,0.0792300805729633,0.03950315618000407,0.9786026427575572
absoluteTerminalMolecular,111,190,0,0.0,0.00034422288309537405,-0.00034422288309537405,0.0,0.00034422288309537405,-0.00034422288309537405,0.0,0.0003442228830953742,0,0.0,0.0,1.0
classConditionedTerminalMolecular,1,31,31,0.0006638102995504117,0.0007470436169066006,-8.32333173561889e-05,0.0018295035629962546,0.0008104773003179538,0.0010190262626783007,0.0010344748921174713,0.0007400593830822474,3,0.001935483870967742,0.0005666792595391009,0.9993361897004496
classConditionedTerminalMolecular,2,156,1,0.0022128744451460655,0.0006576703635043142,0.0015552040816417512,0.0022128744451460655,0.0005612050265894644,0.001651669418556601,0.0022128744451460646,0.0006650039856089524,0,0.0,0.0,0.9977871255548539
classConditionedTerminalMolecular,3,164,1,0.0028708352491938157,0.0006661073979112574,0.0022047278512825584,0.0028708352491938157,0.0005688576649973487,0.002301977584196467,0.0028708352491938166,0.0006721032461059498,0,0.0,0.0,0.9971291647508062
classConditionedTerminalMolecular,4,170,1,0.0031559777324478787,0.0006802514782464216,0.002475726254201457,0.0031559777324478787,0.0005953520641202422,0.0025606256683276367,0.0031559777324478805,0.0006844716245626355,0,0.0,0.0,0.9968440222675521
classConditionedTerminalMolecular,5,173,1,0.0033361120327115214,0.000686630303577797,0.0026494817291337243,0.0033361120327115214,0.000604675414641237,0.0027314366180702845,0.003336112032711522,0.0006901837361056232,0,0.0,0.0,0.9966638879672884
classConditionedTerminalMolecular,6,174,1,0.0033519675772260443,0.0006890369950498942,0.00266293058217615,0.0033519675772260443,0.0006135466137472161,0.002738420963478828,0.0033519675772260456,0.000692146164471968,0,0.0,0.0,0.996648032422774
classConditionedTerminalMolecular,7,175,1,0.0035072433494141068,0.0006903811944697009,0.002816862154944406,0.0035072433494141068,0.0006160392175103668,0.00289120413190374,0.0035072433494141076,0.000693279517158174,0,0.0,0.0,0.9964927566505859
classConditionedTerminalMolecular,8,177,1,0.004084285455184133,0.0006920145448317876,0.003392270910352345,0.004084285455184133,0.0006259399462602139,0.0034583455089239185,0.0040842854551841334,0.0006942943116830875,0,0.0,0.0,0.9959157145448159
classConditionedTerminalMolecular,9,180,1,0.004372626263301545,0.0006979510257438676,0.003674675237557677,0.004372626263301545,0.0006405678490333856,0.003732058414268159,0.004372626263301544,0.0006995330180842564,0,0.0,0.0,0.9956273737366984
classConditionedTerminalMolecular,12,181,1,0.004966400162029428,0.0006985108764938857,0.004267889285535543,0.004966400162029428,0.0006404673859731749,0.004325932776056253,0.004966400162029428,0.0006999736823674926,0,0.0,0.0,0.9950335998379706
classConditionedTerminalMolecular,13,182,1,0.00546106792219736,0.0006996606596404775,0.004761407262556883,0.00546106792219736,0.0006470424190364764,0.004814025503160884,0.005461067922197362,0.0007008607247770592,0,0.0,0.0,0.9945389320778026
classConditionedTerminalMolecular,14,183,1,0.006293067767956032,0.0007004859657384979,0.005592581802217535,0.006293067767956032,0.0006549950692069401,0.0056380726987490925,0.006293067767956034,0.0007014132655508363,0,0.0,0.0,0.993706932232044
classConditionedTerminalMolecular,15,185,1,0.010710365528381097,0.0007008451684710756,0.010009520359910021,0.010710365528381097,0.000674143512616731,0.010036222015764366,0.0107103655283811,0.0007012578507044131,0,0.0,0.0,0.9892896344716189
classConditionedTerminalMolecular,17,186,1,0.013548304287205474,0.0007020526476692536,0.01284625163953622,0.013548304287205474,0.000681554497685053,0.01286674978952042,0.01354830428720547,0.0007023180790182552,0,0.0,0.0,0.9864516957127946
classConditionedTerminalMolecular,36,187,1,0.018987279387521584,0.0007030973385131023,0.01828418204900848,0.018987279387521584,0.0006879135960824905,0.018299365791439093,0.01898727938752158,0.0007032554760700241,0,0.0,0.0,0.9810127206124785
classConditionedTerminalMolecular,38,188,1,0.027758254982371777,0.0007046871123189442,0.027053567870052832,0.027758254982371777,0.000693483445686242,0.027064771536685534,0.027758254982371777,0.0007047750943292598,1,0.008532423208191127,0.0040595399188092015,0.9722417450176282
classConditionedTerminalMolecular,62,189,1,0.05046936914256794,0.0007064358046203762,0.04976293333794756,0.05046936914256794,0.0006986085298059278,0.04977076061276201,0.05046936914256794,0.0007064770008036105,1,0.1593554162936437,0.08450417430258603,0.9495306308574321
classConditionedTerminalMolecular,111,190,0,0.0,0.0007092073408686609,-0.0007092073408686609,0.0,0.0007092073408686609,-0.0007092073408686609,0.0,0.0007092073408686611,0,0.0,0.0,1.0
cycleReducedTerminalMolecular,1,31,31,0.0007189803807695693,0.0008041738666598979,-8.519348589032852e-05,0.0012186745322203926,0.0009267644291893388,0.0002919101030310539,0.0008897869379446971,0.0007904917137079615,2,0.0012903225806451613,0.0007555723460521345,0.9992810196192304
cycleReducedTerminalMolecular,2,156,1,0.0019782099333468628,0.0007238800480242067,0.001254329885322656,0.0019782099333468628,0.0006397037061351797,0.0013385062272116832,0.001978209933346864,0.0007302794190450106,0,0.0,0.0,0.9980217900666531
cycleReducedTerminalMolecular,3,164,1,0.002692016279475746,0.0007270333350344025,0.0019649829444413434,0.002692016279475746,0.0006291917368362343,0.002062824542639512,0.002692016279475748,0.0007330656741714333,0,0.0,0.0,0.9973079837205242
cycleReducedTerminalMolecular,4,170,1,0.0029845432613599763,0.0007391850357371664,0.0022453582256228097,0.0029845432613599763,0.0006696131752741859,0.00231493008608579,0.0029845432613599767,0.0007426432861110581,0,0.0,0.0,0.99701545673864
cycleReducedTerminalMolecular,5,173,1,0.0032439487782068904,0.0007441449489369709,0.0024998038292699193,0.0032439487782068904,0.0006833029809766908,0.0025606457972301997,0.003243948778206892,0.0007467829590766032,0,0.0,0.0,0.9967560512217931
cycleReducedTerminalMolecular,6,174,1,0.003282082534047435,0.0007462388079808721,0.002535843726066563,0.003282082534047435,0.0006865800591081886,0.0025955024749392463,0.0032820825340474364,0.0007486959310547438,0,0.0,0.0,0.9967179174659526
cycleReducedTerminalMolecular,7,175,1,0.003614902674180844,0.000746274416772633,0.002868628257408211,0.003614902674180844,0.0006817445494940536,0.0029331581246867904,0.0036149026741808454,0.0007487902010719937,0,0.0,0.0,0.9963850973258191
