lineage_id,replicate1_counts,replicate2_counts,replicate1_fate,replicate2_fate,pooled_counts,pooled_fate,replicate1_total,replicate2_total,concordant,discordant,replicate1_support,replicate2_support
001661c5a41aa5331667,0:2:7,0:0:12,0:2:7,0:0:1,0:2:19,0:2:19,9,12,False,True,011,001
001e4a2d710bc2ce2965,0:0:3,0:0:3,0:0:1,0:0:1,0:0:6,0:0:1,3,3,True,False,001,001
0044748e9275006f4325,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
0052c05aa1d8ef7dfe6f,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
006253e516345222b731,0:1:0,1:0:0,0:1:0,1:0:0,1:1:0,1:1:0,1,1,False,True,010,100
009eddcbea380246c2fe,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
00f3a8bfa5b59f858051,0:2:0,1:4:0,0:1:0,1:4:0,1:6:0,1:6:0,2,5,False,True,010,110
00f447820c57caac1f6b,0:0:2,0:0:2,0:0:1,0:0:1,0:0:4,0:0:1,2,2,True,False,001,001
01102a68890c372868af,1:2:0,0:4:0,1:2:0,0:1:0,1:6:0,1:6:0,3,4,False,True,110,010
011c707d69e1395b5ce0,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
01224b80dc7ce537c7b6,0:0:3,1:2:0,0:0:1,1:2:0,1:2:3,1:2:3,3,3,False,True,001,110
0158da7a855f1ab17260,0:3:1,1:3:0,0:3:1,1:3:0,1:6:1,1:6:1,4,4,False,True,011,110
0161ffc8a1912b7b5369,0:1:1,0:0:5,0:1:1,0:0:1,0:1:6,0:1:6,2,5,False,True,011,001
0179d40b64f460fc3a09,1:4:0,0:3:0,1:4:0,0:1:0,1:7:0,1:7:0,5,3,False,True,110,010
01f71ea0bb0ff21783a7,0:0:1,0:0:10,0:0:1,0:0:1,0:0:11,0:0:1,1,10,True,False,001,001
02849115ef020512d040,0:0:3,0:0:1,0:0:1,0:0:1,0:0:4,0:0:1,3,1,True,False,001,001
