bank,rank,gene,sha256,projection,terminal_label_used
0,1,CMTM7,00f18f19f86c96ff54a40b3488cae5f93a65d510455c0bcf36f0fe54cdfeee99,1,False
0,2,GCOM1,00f1d5fb939267cc366345c3adbede81f32d76cb58b6ae3e0770fce7cf359678,1,False
0,3,MYBPHL,00f96d2e4bd8083bc70e2b51c4343f121e5cccbcccbde5b8390457edefd897a5,1,False
0,4,RP11-502I4.3,00fa01323ee07cacd95a639b1a3448cf8abc81a24bba6e6723828730c81863ec,1,False
0,5,LA16c-358B7.4,00ff18056a3c0b3c0dea51578d66ec1403c21ecefb4df57dbea5e1e121685aef,1,False
0,6,NCOA6,01015ce7e99ffd4f48ed9a29faa2bb629e3550d364b7bab743ee72264847bac7,1,False
0,7,RP11-45A12.1,01069eaf07a52d3e84032baabe4c10f028a4843f788b198f599c4645fb774d93,1,False
0,8,BTBD10,01072a28c69a2f1794adef424999035f24c7385211ea41a525718022804292ea,1,False
0,9,SOD3,01082f0399814825cccb2f6d44b05ca5809d02281a75bda7531f32d2da415bf3,2,False
0,10,CDC42SE2,0109777f69a7383cfba881c85eae9e7a9887936e990da3887d92618f67694b38,2,False
0,11,ZC3H3,010c1cad98a4200a1beac218c21504e4fb8f218541ee6826916c754b62951b01,2,False
0,12,KPNA2,010fcc3c907feb959eabf1fb9b1ac0b1a4c75fd61cebc6b3a3d793b55ba41724,2,False
0,13,EIF6,011087293116b39de06f27f3ad902d308be0796821e4aa4c47e5053a5cedfbb2,2,False
0,14,ASCL5,0110b8df5eaa726f581512b3c205c7d63818743ff18111cfc673d6d1b02ea77b,2,False
0,15,SPG11,0113224d3f5741e94d383e870110aae34f9bb4245736a9135abe9ce8673197cb,2,False
0,16,TGFB2,01158145520ea4ebdf9042e196d79c897cc7ff459407f3b7b187a1e00a23b71f,2,False
0,17,RBM22,0116596a8c12799340490157b8e6d14dd35dfc5e5a101def3673203ec0d65e65,3,False
0,18,COQ10A,01185254ec176f366640f9c413faad494467ea20d139f712ecbf3eb0dc5ebe3c,3,False
0,19,CALHM3,011d43761da723c94cddd1f7b5c3b47138ce0c21633a859772cbb393aaba8f84,3,False
0,20,PAK1,011fe33a8ed35c4b9683e4fb41f7b419aef426771441ee8d5e5ead542fae0648,3,False
0,21,RP11-95D17.1,0121694d5b0bd1f13aeb361f140818f2aee88c8052b46f222e387b705f10561b,3,False
0,22,C6orf120,0121d19c73c79068bb404a0348c7c462043bfa0948e0cb21cc2a2fc3bf2e22d5,3,False
0,23,CYBB,01233345872871096aa0c44206b00894d2235d8a08798f2e0b3d018ecac98d45,3,False
0,24,RP4-799P18.2,012374911681dfef611a9c7c6a8149adf86e42ca166746eb54890dd64b411a88,3,False
0,25,RP11-299J3.8,012408c9a28e32459e8204477b5bdf7daf7b89685e212ed8f8954b387d674ef9,4,False
0,26,SLC30A10,01246c1cf920f5f5106e1aefb137343d6d0ac771df9732999cf2e50175e42a62,4,False
0,27,TEX28,012de2a32d566691530afe96f1f97c7d6f1739f168e2917e4aac7f38ee2da0f2,4,False
0,28,KIAA2012,0130988fd22bfe929e01195b90b356ffc590a7943d22d9fccf18775cbd864ad5,4,False
0,29,CCNT1,0131107872a17cb2c0fa96aa2833a011e3471001e8ad39c17e9c8dd45a9978f0,4,False
0,30,CTD-2562J15.6,013412fd4b4b1a8001679fa93a95e4191f21cfe052f10c2350a621c03ae56361,4,False
0,31,LRIG1,01349304a063a7477879031139a3ed680e5274b810c851aca490114789d40fdc,4,False
0,32,TAOK3,0138d583fe23a466124c1ff20eac57a652ac3548d64664772eb7c408af69b776,4,False
0,33,NBPF1,01445c90ac1ed379b2e0aa2114e4ed050787af01b5b3caf8bd300a314d04e5f6,5,False
