time,package,carrierCount,majorityResidual,discordantPairCount,visibilityFraction
0,P0_timeConstant,1490,766,823116,0.0
0,P1_fourProjectionState,1490,765,20933,0.974568590575326
0,P2_eightProjectionState,1490,306,502,0.9993901224128798
0,P3_sourceHighlightedPrograms,1490,766,823116,0.0
0,P4_twelveProjectionState,1490,10,10,0.9999878510440813
0,P5_twelveProjectionDistribution,1490,1,1,0.9999987851044081
0,identity_lineageBarcodeSet,1490,0,0,1.0
3,P0_timeConstant,2235,1068,1755333,0.0
3,P1_fourProjectionState,2235,1066,45731,0.9739473934575377
3,P2_eightProjectionState,2235,578,1692,0.9990360803334752
3,P3_sourceHighlightedPrograms,2235,1068,1755333,0.0
3,P4_twelveProjectionState,2235,53,89,0.9999492973697868
3,P5_twelveProjectionDistribution,2235,21,32,0.9999817698408222
3,identity_lineageBarcodeSet,2235,0,0,1.0
7,P0_timeConstant,1619,785,939316,0.0
7,P1_fourProjectionState,1619,784,22654,0.9758824506342914
7,P2_eightProjectionState,1619,348,611,0.9993495266768585
7,P3_sourceHighlightedPrograms,1619,785,939316,0.0
7,P4_twelveProjectionState,1619,17,17,0.9999819017242334
7,P5_twelveProjectionDistribution,1619,6,6,0.9999936123732588
7,identity_lineageBarcodeSet,1619,0,0,1.0
